Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jason Staurovsky,47,47,47,1,47,47,1,0,1,0,0,0,0,0,0
Reggie Roby,45.7,37.1,2002,55,64,2466,17,5,5,7,8,29,324,0,1
Harry Newsome,45.5,36.3,2469,68,65,3095,17,3,8,10,5,42,426,0,0
Rich Camarillo,45.3,39.4,2992,77,60,3445,19,3,6,7,12,48,313,0,1
Jeff Gossett,44.2,38.5,2580,67,61,2961,26,12,4,2,8,41,341,0,0
Greg Montgomery,43.8,38.4,1842,50,60,2105,13,6,6,4,4,28,183,0,2
Lee Johnson,43.7,34.7,2219,64,62,2795,15,4,9,6,7,38,456,2,0
Tommy Barnhardt,43.5,35.7,3073,87,61,3743,20,8,7,10,11,50,470,0,1
Sean Landeta,43.2,35.3,2258,64,61,2768,16,4,7,8,10,35,350,1,0
Rick Tuten,43,36.9,1807,49,60,2106,8,2,3,3,12,29,239,0,0
Scott Fulhage,42.8,36.6,2963,81,60,3470,21,3,9,6,18,45,387,0,0
Rohn Stark,42.6,34.8,2856,82,65,3492,14,4,11,6,14,47,516,1,0
Mike Saxon,42.6,36.8,2095,57,64,2426,16,7,7,5,10,28,231,0,0
Pete Stoyanovich,42.5,38.5,77,2,49,85,1,0,1,0,0,1,8,0,0
Brian Hansen,42.5,36.1,2889,80,65,3397,20,4,15,6,15,40,388,0,0
Jeff Feagles,41.8,34.4,2989,88,77,3640,29,15,8,11,11,42,431,1,1
Mike Horan,41.8,37.2,2682,73,71,3012,24,14,8,8,14,28,170,0,1
Jim Arnold,41.2,35.4,2652,75,63,3092,27,11,14,5,10,35,340,1,0
Barry Helton,41.2,32,352,12,46,453,2,0,1,2,4,4,61,0,1
Ralf Mojsiejenko,41,29.7,475,16,55,656,0,1,1,4,1,9,101,0,0
Maury Buford,40.8,35.5,2449,70,64,2814,13,8,13,8,12,28,205,0,1
Dan Stryzinski,40.5,36.8,2726,75,63,2996,10,4,11,3,27,29,210,0,1
Bryan Barker,40.4,35,1993,57,57,2303,11,3,5,6,16,27,190,0,0
Paul McJulien,40.4,34.4,2958,86,62,3473,22,6,14,7,24,35,375,1,0
Mark Royals,40.4,32.3,2710,84,56,3389,22,7,11,6,11,49,559,1,0
John Kidd,40.3,35.2,2677,77,60,3064,22,1,12,6,25,32,267,0,1
Shawn McCarthy,40.2,36.8,2427,68,93,2650,17,6,13,3,18,26,163,0,2
Kelly Goodburn,39.8,35,1820,55,61,2070,16,3,8,3,7,31,190,0,3
Louie Aguiar,39.4,34.6,2217,64,61,2521,14,4,11,7,13,29,164,0,0
Bryan Wagner,39.1,29.1,408,14,54,548,0,1,0,0,2,11,140,1,0
Rick Donnelly,38.8,33.8,439,13,57,505,1,1,2,1,3,6,46,0,0
Chris Mohr,38.6,36.2,1952,54,58,2085,12,7,11,4,17,15,53,0,0
Joe Prokop,38.5,34.6,1383,40,58,1541,8,6,7,1,5,21,138,0,0
Dale Hatcher,38.1,32.9,2072,63,52,2403,16,1,11,5,17,29,231,0,0
Kent Sullivan,35.3,32.3,97,3,37,106,1,0,1,0,1,1,9,0,0
John Elway,34,14,14,1,34,34,0,0,0,1,0,0,0,0,0
Alex Waits,33.9,33.6,470,14,50,474,2,2,4,0,3,5,4,0,0
Jim Breech,33,13,13,1,33,33,0,0,0,1,0,0,0,0,0
Norm Johnson,21,21,21,1,21,21,1,1,0,0,0,0,0,0,0
