Team,FR TD,SFTY,INT TD
Falcons,0,1,0
Ravens,0,0,1
Bills,0,1,1
Panthers,0,0,2
Bears,0,0,4
Bengals,0,0,1
Browns,0,0,0
Cowboys,0,0,2
Broncos,0,1,3
Lions,0,1,2
Packers,0,0,2
Titans,0,1,2
Texans,0,0,0
Colts,0,0,2
Jaguars,0,0,2
Chiefs,0,0,1
Rams,0,0,2
Raiders,0,0,0
Dolphins,0,3,0
Vikings,0,0,3
Patriots,0,0,2
Saints,0,0,0
Giants,0,0,1
Jets,0,0,2
Eagles,0,0,1
Cardinals,0,0,3
Steelers,0,1,0
Chargers,0,0,2
49ers,0,0,3
Seahawks,0,0,2
Buccaneers,0,1,0
Redskins,0,0,1
