Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Steelers,402,1376,3.4,10,75,18.7
Broncos,344,1363,4,10,82,23.8
Falcons,438,2063,4.7,18,122,27.8
Redskins,411,1686,4.1,15,74,18
Cowboys,414,1731,4.2,13,87,21
Chiefs,383,1570,4.1,11,84,21.9
Seahawks,420,1510,3.6,5,78,18.6
Jaguars,434,1709,3.9,4,79,18.2
Bears,443,1637,3.7,9,83,18.7
Panthers,408,1465,3.6,9,72,17.6
Giants,428,1656,3.9,12,83,19.4
Colts,398,1762,4.4,9,91,22.9
Chargers,386,1349,3.5,14,90,23.3
Bengals,429,1850,4.3,16,109,25.4
Buccaneers,438,1515,3.5,10,75,17.1
Ravens,431,1591,3.7,8,79,18.3
Dolphins,480,1771,3.7,11,94,19.6
Patriots,437,1580,3.6,11,94,21.5
Texans,506,2303,4.6,21,123,24.3
Bills,489,2205,4.5,22,146,29.9
49ers,486,1832,3.8,19,115,23.7
Saints,503,2145,4.3,16,103,20.5
Lions,488,2040,4.2,15,109,22.3
Packers,504,2010,4,10,107,21.2
Titans,449,1894,4.2,12,89,19.8
Browns,527,2202,4.2,11,116,22
Jets,554,2185,3.9,19,136,24.6
Vikings,462,1841,4,14,96,20.8
Rams,459,2178,4.8,22,116,25.3
Eagles,506,1883,3.7,15,91,18
Raiders,507,2049,4,18,100,19.7
Cardinals,411,1632,4,22,83,20.2
