Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,89,5777,84,94.4,3,31,0,0,1,0
Ravens,78,5027,66,84.6,11,22,0,0,0,0
Dolphins,77,4992,65,84.4,12,29.6,0,0,0,1
49ers,75,4739,42,56,30,23.4,0,0,2,0
Bills,74,4616,39,52.7,23,20.4,1,0,1,0
Colts,72,4616,54,75,12,24.7,0,0,0,0
Browns,71,4508,45,63.4,18,17.4,0,0,0,0
Eagles,71,4558,56,78.9,14,29.8,1,0,0,0
Jaguars,70,4446,52,74.3,13,26.1,1,0,0,1
Rams,70,4462,61,87.1,8,29.1,1,0,0,0
Lions,69,4311,43,62.3,21,20.9,2,0,0,0
Bears,67,4214,54,80.6,10,24.8,2,0,0,0
Saints,67,4347,56,83.6,11,20.2,0,0,0,0
Broncos,66,4203,58,87.9,6,20,2,0,0,0
Seahawks,66,4217,45,68.2,17,22.1,0,0,1,0
Texans,65,4123,41,63.1,22,22.1,0,0,0,0
Bengals,64,4023,49,76.6,10,18.8,2,0,0,0
Chiefs,64,4195,58,90.6,6,26.3,0,0,0,0
Packers,63,4001,32,50.8,25,22.3,1,0,1,0
Falcons,62,4035,52,83.9,9,23,0,0,0,0
Vikings,62,3958,45,72.6,15,23.7,1,0,1,0
Chargers,62,3991,53,85.5,8,18.5,0,0,0,0
Buccaneers,62,3942,44,71,15,18.5,0,0,0,0
Titans,58,3609,31,53.4,24,22.9,2,0,0,0
Commanders,57,3602,55,96.5,0,0,2,0,0,0
Jets,56,3564,48,85.7,5,16.4,1,0,0,0
Cardinals,56,3485,47,83.9,4,22.2,3,1,0,0
Steelers,56,3563,38,67.9,15,26.3,0,0,0,0
Raiders,52,3350,34,65.4,18,22.1,0,0,0,0
Panthers,51,3081,32,62.8,14,25,4,0,1,0
Giants,47,3024,36,76.6,10,26.9,0,0,1,0
Patriots,45,2828,30,66.7,14,23.1,1,0,0,0
