Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,16.9,13,220,0,4,1,45,10,1
Chargers,16.6,19,316,1,5,1,87T,21,2
Ravens,14.8,26,385,1,5,2,76T,21,0
Eagles,14.2,22,313,0,6,1,52,12,1
Saints,12.5,25,312,1,2,1,76T,21,0
Bengals,11.4,26,295,1,4,1,81T,12,1
Seahawks,11,22,243,0,3,0,32,13,2
Raiders,10.9,20,218,0,1,0,32,12,1
Jaguars,10.6,22,234,0,4,1,48,15,2
Lions,10,20,199,0,1,0,24,18,1
Jets,9.7,24,232,1,1,1,65T,24,2
Cardinals,9.6,24,231,0,2,1,49,10,1
Buccaneers,9.2,21,194,0,1,1,51,13,2
Bears,9,15,135,0,1,0,31,16,0
Colts,8.9,23,204,0,2,0,32,16,3
Bills,8.8,23,203,0,2,0,24,18,2
Browns,8.7,34,296,0,1,0,21,23,2
Dolphins,8.6,21,180,0,0,0,19,25,1
Chiefs,8.5,31,263,0,5,1,50,11,4
Panthers,8.4,31,262,1,3,1,79T,17,1
Vikings,8.4,29,245,0,3,0,25,13,1
Texans,8.2,21,172,0,2,0,22,18,2
Titans,8,35,280,0,1,0,21,9,3
49ers,8,28,224,0,0,0,19,10,2
Packers,8,23,183,0,3,0,35,12,5
Commanders,7.5,29,218,0,2,1,61,11,1
Falcons,7.5,24,180,0,1,0,23,17,2
Rams,7,25,174,0,1,0,29,16,3
Steelers,6.6,24,159,0,1,0,21,11,2
Giants,6.2,24,149,0,0,0,17,15,6
Patriots,5.9,22,129,0,2,0,25,22,4
Cowboys,5.8,16,92,0,0,0,15,19,1
