Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Browns,31,34,91.2,0_0,8_8,5_5,13_10,8_8,0_0,58,0
Cowboys,30,30,100,0_0,9_9,11_11,2_2,7_7,1_1,60,0
Jets,28,29,96.6,0_0,5_5,9_9,10_10,5_4,0_0,55,0
Rams,27,36,75,0_0,7_7,6_6,13_9,10_5,0_0,54,1
Bears,26,28,92.9,0_0,7_7,9_9,6_4,6_6,0_0,55,0
Broncos,26,28,92.9,0_0,9_9,12_11,3_3,4_3,0_0,52,1
Titans,26,27,96.3,0_0,9_9,8_8,5_5,5_4,0_0,53,0
Seahawks,26,33,78.8,0_0,3_3,11_10,11_9,8_4,0_0,55,0
Falcons,25,28,89.3,0_0,8_8,7_7,8_7,5_3,0_0,54,0
Texans,25,29,86.2,0_0,9_9,12_12,4_3,4_1,0_0,50,0
Ravens,24,29,82.8,0_0,6_6,8_8,10_9,4_1,1_0,50,1
Jaguars,24,28,85.7,0_0,2_2,7_7,12_10,7_5,0_0,56,1
Saints,24,31,77.4,0_0,9_7,5_5,9_7,8_5,0_0,55,0
Colts,23,28,82.1,0_0,8_8,4_3,6_5,9_7,1_0,57,1
Chiefs,23,23,100,0_0,4_4,13_13,3_3,2_2,1_1,60,0
Eagles,23,25,92,0_0,6_6,7_6,4_4,7_6,1_1,61,0
Steelers,23,25,92,0_0,6_6,5_5,8_7,5_5,1_0,57,0
Panthers,21,25,84,0_0,4_4,6_6,9_7,6_4,0_0,56,0
Bengals,21,26,80.8,0_0,4_4,3_3,7_7,12_7,0_0,56,0
Buccaneers,21,23,91.3,0_0,7_7,8_8,2_1,6_5,0_0,57,2
Bills,20,25,80,0_0,1_1,12_11,6_4,6_4,0_0,54,1
Packers,20,25,80,0_0,5_5,9_9,7_4,3_2,1_0,52,0
Raiders,20,24,83.3,0_0,8_8,5_4,8_7,3_1,0_0,54,1
Cardinals,20,23,87,0_0,3_3,6_5,5_5,8_6,1_1,62,0
Vikings,19,25,76,1_1,6_6,7_7,5_2,6_3,0_0,54,1
Chargers,19,20,95,0_0,5_5,7_7,3_3,5_4,0_0,55,0
49ers,17,20,85,0_0,6_6,7_7,4_2,3_2,0_0,57,0
Commanders,17,22,77.3,0_0,3_2,6_6,8_6,4_2,1_1,61,1
Lions,15,17,88.2,0_0,3_2,10_10,2_2,2_1,0_0,52,0
Giants,15,22,68.2,0_0,2_2,7_5,9_5,4_3,0_0,57,1
Dolphins,14,18,77.8,0_0,3_3,3_3,8_6,4_2,0_0,54,2
Patriots,12,18,66.7,0_0,3_3,5_3,7_5,3_1,0_0,51,0
