Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,31,9,279,1,7,1,99T,2,0
Panthers,28.5,17,484,0,15,2,52,0,1
Commanders,26.8,17,455,0,13,1,40,0,1
Seahawks,26.2,20,524,0,18,1,66,0,0
Packers,25.9,25,648,0,21,2,51,0,0
Vikings,25.9,8,207,0,6,0,38,1,0
Texans,25.7,12,308,1,7,1,85T,1,0
Dolphins,24.5,15,367,0,14,0,33,0,0
Colts,24.4,7,171,0,3,1,42,7,0
Browns,23.9,8,191,0,6,0,33,1,0
Raiders,23.4,9,211,0,7,1,40,1,0
Jaguars,23.1,16,370,0,11,1,53,0,0
Bengals,22.9,15,343,0,10,2,46,0,0
Cowboys,22.9,14,320,0,7,2,63,0,0
49ers,22.6,15,339,0,9,0,34,0,0
Steelers,22.2,20,444,0,13,0,37,2,0
Bears,21.9,16,350,0,11,0,37,2,0
Bills,21.8,12,262,0,7,1,41,4,0
Jets,21.8,15,327,0,9,0,30,1,1
Lions,21.7,17,369,0,9,0,31,2,1
Saints,21.6,18,389,0,10,0,28,1,1
Chiefs,21.4,7,150,0,5,0,31,6,0
Eagles,21.1,8,169,0,4,0,38,5,0
Patriots,21.1,11,232,0,7,1,43,1,0
Chargers,21,9,189,0,7,0,27,1,0
Buccaneers,20.7,15,310,0,7,0,32,2,0
Titans,20.4,16,327,0,10,0,33,8,0
Ravens,19.3,9,174,0,5,0,28,4,0
Giants,19.2,13,249,0,7,0,36,3,0
Cardinals,18.6,11,204,0,5,0,28,1,0
Rams,17.8,8,142,0,4,0,36,7,0
Falcons,17.6,11,193,0,4,0,29,0,0
