Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Browns,31,91.2,20,90.9,0,0
Cowboys,30,100,39,92.9,0,0
Jets,28,96.6,11,91.7,0,1
Rams,27,75,24,92.3,0,0
Bears,26,92.9,22,91.7,0,0
Broncos,26,92.9,23,92,1,0
Titans,26,96.3,21,95.4,0,0
Seahawks,26,78.8,26,100,0,0
Falcons,25,89.3,20,95.2,0,0
Texans,25,86.2,24,96,1,0
Ravens,24,82.8,37,97.4,0,1
Jaguars,24,85.7,30,100,0,0
Saints,24,77.4,27,100,0,1
Colts,23,82.1,29,96.7,0,0
Chiefs,23,100,31,100,0,0
Eagles,23,92,35,97.2,0,0
Steelers,23,92,17,100,0,0
Panthers,21,84,16,94.1,0,1
Bengals,21,80.8,31,100,0,1
Buccaneers,21,91.3,25,100,0,0
Bills,20,80,36,97.3,0,0
Packers,20,80,24,88.9,0,0
Raiders,20,83.3,18,100,0,0
Cardinals,20,87,14,93.3,0,0
Vikings,19,76,27,93.1,0,0
Chargers,19,95,31,100,0,1
49ers,17,85,47,100,0,0
Commanders,17,77.3,24,92.3,0,0
Lions,15,88.2,35,94.6,0,0
Giants,15,68.2,18,100,0,0
Dolphins,14,77.8,51,98.1,0,0
Patriots,12,66.7,17,100,0,0
