Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Packers,515,286,55.5,6.4,3309,25,23,169,32.8,46
Lions,511,339,66.3,6.9,3520,22,12,183,35.8,30
Rams,451,266,59,6.7,3035,21,17,164,36.4,34
Dolphins,497,279,56.1,6,3007,22,8,166,33.4,47
Saints,474,267,56.3,6,2854,26,11,148,31.2,38
Colts,415,266,64.1,6.1,2548,16,15,150,36.1,25
Cardinals,522,321,61.5,7.1,3694,21,16,186,35.6,38
Eagles,525,309,58.9,5.8,3067,17,19,154,29.3,40
Vikings,599,355,59.3,6.4,3818,15,21,192,32,30
Panthers,500,291,58.2,6,3000,22,14,149,29.8,41
Buccaneers,493,301,61,6.8,3354,26,11,174,35.3,25
Patriots,518,294,56.8,6.2,3203,10,22,164,31.7,44
Ravens,509,279,54.8,5.9,3011,16,28,151,29.7,60
Bengals,555,349,62.9,6.9,3818,24,19,206,37.1,35
Giants,567,333,58.7,6.4,3649,21,17,189,33.3,32
Steelers,529,319,60.3,6.4,3393,21,20,176,33.3,39
Bears,581,328,56.4,5.4,3116,18,24,159,27.4,40
Browns,499,283,56.7,6.5,3242,20,18,178,35.7,28
Seahawks,504,299,59.3,6.5,3256,23,12,160,31.8,41
Cowboys,511,301,58.9,6.9,3506,25,18,179,35,34
Jets,532,316,59.4,6.1,3222,19,16,181,34,35
Raiders,410,245,59.8,5.9,2413,17,18,137,33.4,34
Texans,505,328,65,6.8,3444,22,11,174,34.5,28
Redskins,486,289,59.5,7.2,3491,30,6,169,34.8,19
Chargers,538,307,57.1,6,3212,19,16,178,33.1,61
Broncos,538,327,60.8,6.3,3410,13,17,183,34,35
Chiefs,506,314,62.1,6.6,3334,18,15,171,33.8,32
Titans,530,335,63.2,6.8,3602,24,17,181,34.2,26
Jaguars,523,294,56.2,5.9,3078,12,20,143,27.3,35
49ers,518,331,63.9,6.9,3571,25,14,189,36.5,34
Bills,513,324,63.2,5.9,3019,18,13,168,32.8,40
Falcons,515,321,62.3,7.1,3668,20,12,183,35.5,37
