Team,INT,INT TD,INT Yds,Lng
Ravens,28,5,544,60T
Bears,24,1,279,54T
Packers,23,4,289,55
Patriots,22,0,262,70
Vikings,21,3,243,47
Jaguars,20,1,280,55T
Steelers,20,2,272,49
Bengals,19,1,248,52T
Eagles,19,4,428,102
Browns,18,1,256,57T
Cowboys,18,3,234,41
Raiders,18,2,206,100
Broncos,17,2,244,70
Titans,17,2,282,83
Rams,17,1,164,38T
Giants,17,2,305,96
Jets,16,0,56,25
Cardinals,16,1,350,99T
Chargers,16,0,140,35
Colts,15,0,157,38
Chiefs,15,0,124,30
Panthers,14,2,115,30
49ers,14,1,178,43
Bills,13,2,203,76
Falcons,12,1,257,60
Lions,12,1,160,88T
Seahawks,12,1,124,37T
Texans,11,1,78,21T
Saints,11,0,106,54
Buccaneers,11,3,226,66
Dolphins,8,2,116,51T
Redskins,6,0,25,25
