Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dolphins,33,39,84.6,2_2,9_9,12_11,11_8,0_0,0_0,53,0
Redskins,31,43,72.1,0_0,9_9,12_10,17_10,0_0,0_0,53,0
Jets,30,43,69.8,3_3,19_15,12_10,7_2,0_0,0_0,44,0
Raiders,29,34,85.3,3_3,7_7,13_10,7_7,0_0,0_0,53,1
Eagles,28,33,84.8,2_2,8_8,10_9,10_8,0_0,0_0,51,2
Cowboys,27,39,69.2,2_2,6_6,11_9,13_6,0_0,0_0,54,3
Broncos,27,36,75,5_5,10_10,12_9,9_3,0_0,0_0,47,3
Chiefs,25,30,83.3,2_2,11_11,8_8,7_4,0_0,0_0,48,0
Saints,25,32,78.1,0_0,6_6,13_11,9_6,0_0,0_0,60,0
Seahawks,25,31,80.6,1_1,6_5,14_11,7_6,0_0,0_0,54,0
Bengals,24,32,75,0_0,10_9,10_8,6_5,0_0,0_0,53,1
Giants,24,31,77.4,0_0,7_7,9_7,12_9,0_0,0_0,54,1
Oilers,23,31,74.2,2_2,12_11,9_6,5_3,0_0,0_0,52,0
Steelers,23,33,69.7,0_0,10_8,11_9,6_5,0_0,0_0,54,1
Falcons,21,26,80.8,0_0,12_11,4_4,8_5,0_0,0_0,50,0
Cardinals,21,30,70,0_0,6_6,7_7,10_5,0_0,0_0,52,1
Patriots,20,29,69,1_1,5_4,15_10,7_5,0_0,0_0,46,3
Bears,19,29,65.5,1_1,11_9,5_3,9_5,0_0,0_0,50,0
Lions,19,28,67.9,1_1,4_3,10_8,9_5,0_0,0_0,50,1
Chargers,19,29,65.5,1_1,6_6,8_6,10_4,0_0,0_0,54,1
Bills,18,29,62.1,1_1,8_7,7_3,9_5,0_0,0_0,52,1
Packers,18,24,75,0_0,9_9,5_4,9_4,0_0,0_0,53,0
Rams,17,17,100,0_0,4_4,8_8,3_3,0_0,0_0,50,0
Vikings,17,24,70.8,0_0,9_9,3_3,7_3,0_0,0_0,50,0
Browns,16,22,72.7,2_1,3_2,9_8,6_3,0_0,0_0,55,1
Colts,15,26,57.7,1_1,5_5,4_3,13_5,0_0,0_0,54,1
Buccaneers,15,20,75,1_1,4_4,11_7,4_3,0_0,0_0,49,1
49ers,14,28,50,0_0,5_5,10_3,10_4,0_0,0_0,50,3
