Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Dolphins,30,81.1,34,94.4,0,0
Redskins,30,75,30,100,0,2
Saints,29,85.3,33,97.1,0,0
Steelers,28,77.8,29,93.6,0,1
Chargers,26,81.2,35,100,0,0
Bills,24,80,43,97.7,0,0
Cowboys,24,68.6,47,97.9,0,2
Chiefs,23,92,39,100,0,2
Packers,22,75.9,30,100,0,1
Browns,21,72.4,29,96.7,0,1
Lions,21,80.8,30,100,1,1
Oilers,21,77.8,41,100,0,0
Broncos,20,80,28,100,0,0
Bears,19,73.1,34,100,1,0
Bengals,19,67.9,31,100,0,1
Vikings,19,76,45,100,0,0
Jets,19,63.3,23,100,0,0
Falcons,18,81.8,39,100,2,0
Giants,18,78.3,36,100,1,0
49ers,18,66.7,53,98.2,0,1
Colts,16,55.2,24,100,0,2
Eagles,16,64,40,90.9,0,1
Rams,15,75,38,100,0,2
Raiders,15,57.7,28,100,0,0
Seahawks,14,63.6,14,100,0,0
Cardinals,13,50,28,96.6,0,0
Buccaneers,12,54.6,33,100,0,0
Patriots,11,64.7,22,91.7,1,0
