Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bears,3317,1198,353,185,188,56,94,19.2,1128
Eagles,3209,1199,290,183,203,61.5,105,22.6,1116
Giants,3201,1008,120,67,124,49.8,113,21.7,1027
Cardinals,3187,1115,291,149,186,58.7,79,20,1075
Jets,3181,1213,280,161,173,54.2,97,22.5,1043
Chargers,3106,1023,273,105,161,55.3,70,17.1,1025
Chiefs,3081,1278,215,67,163,58,129,24.4,1054
Cowboys,3062,1113,172,80,170,54.1,82,19.4,1015
Ravens,3025,1091,277,160,176,52.1,99,23.6,1043
Redskins,3016,1277,172,66,192,67.8,86,18.9,1034
Steelers,3010,1351,249,152,157,62.1,154,26.9,1058
Panthers,2976,1312,119,39,170,58.8,91,20.6,1019
Oilers,2950,1247,186,120,136,61.8,130,24,993
Broncos,2947,1246,219,96,172,59.9,138,26.5,1068
Patriots,2940,1186,174,41,173,53.9,71,17.8,960
Dolphins,2929,1112,301,171,199,59.9,87,20.2,1032
Vikings,2897,1155,143,65,177,55.5,96,21.4,1022
Bengals,2870,1179,265,134,171,56.6,104,23,1002
Seahawks,2866,1165,198,101,207,57.7,98,24.3,1049
Jaguars,2863,1125,163,69,187,59.7,103,22.7,998
Lions,2848,1002,232,101,166,54.6,120,26.8,1028
Rams,2836,931,139,50,161,59.4,85,19.2,1013
49ers,2836,1038,106,52,167,60.1,106,20.3,999
Bills,2819,706,381,145,144,49.2,98,23.2,1014
Packers,2763,1099,67,67,191,61.8,103,22.4,1004
Colts,2755,1042,253,126,171,53.9,109,24.2,1035
Buccaneers,2724,1056,190,68,134,59.8,88,18.4,915
Raiders,2679,859,235,66,170,57.8,74,20.6,947
Falcons,2660,942,163,101,168,61.5,88,19.9,980
Saints,2649,696,277,178,127,55.7,78,18.7,925
