Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Stefon Diggs,64,748,6,7,2,55,37,57.8,1,209,90
Tyreek Hill,61,1014,8,16,7,69,45,73.8,0,382,87
Puka Nacua,61,795,2,16,0,37,38,62.3,1,314,89
A.J. Brown,60,939,5,17,3,59,43,71.7,0,289,83
Ja'Marr Chase,60,656,4,5,2,63,40,66.7,1,320,85
Amon-Ra St. Brown,57,665,3,9,1,44,33,57.9,1,242,78
Adam Thielen,57,581,4,7,0,31,35,61.4,0,210,70
Keenan Allen,54,643,4,12,1,42,28,51.8,1,218,74
Travis Kelce,54,583,4,4,2,53,30,55.6,0,264,68
T.J. Hockenson,53,478,3,6,0,24,27,50.9,1,179,68
Evan Engram,51,434,0,4,0,34,19,37.2,2,289,61
Michael Pittman,50,529,3,5,2,75,20,40,1,261,78
Davante Adams,47,539,3,5,0,32,32,68.1,0,140,78
CeeDee Lamb,46,633,3,14,1,49,29,63,1,240,56
Zay Flowers,44,461,1,8,3,52,19,43.2,0,193,61
DJ Moore,44,691,5,13,2,58,31,70.4,0,307,57
Chris Olave,44,517,1,6,2,45,27,61.4,0,181,77
Christian Kirk,43,520,3,8,2,45,23,53.5,1,164,60
Sam LaPorta,43,434,4,4,1,45,22,51.2,0,187,59
Terry McLaurin,42,495,2,7,0,32,23,54.8,0,124,63
Josh Downs,40,473,2,7,1,59,20,50,0,208,56
Alvin Kamara,39,228,1,2,0,25,12,30.8,0,253,44
DeVonta Smith,39,482,3,6,2,63,18,46.2,0,118,57
Garrett Wilson,39,469,2,5,1,68,20,51.3,0,142,68
Marquise Brown,38,416,4,6,1,41,26,68.4,0,120,69
Chris Godwin,38,452,1,6,1,42,25,65.8,0,186,56
Jakobi Meyers,38,404,5,2,0,25,24,63.2,0,79,57
Michael Thomas,38,439,1,4,0,31,21,55.3,0,96,61
Kendrick Bourne,37,406,4,5,0,36,15,40.5,1,203,55
Drake London,37,438,2,8,0,32,24,64.9,0,99,57
Jaylen Waddle,37,480,3,7,0,35,24,64.9,0,206,52
Jordan Addison,36,482,7,6,2,62,21,58.3,0,153,51
Justin Jefferson,36,571,3,14,2,52,28,77.8,1,182,53
Darren Waller,36,384,1,5,0,27,18,50,0,142,51
Brandon Aiyuk,35,620,2,13,1,42,30,85.7,0,140,52
Dallas Goedert,35,360,2,3,1,49,21,60,0,197,48
Cole Kmet,35,319,3,3,0,23,18,51.4,1,137,42
Tyler Lockett,35,370,3,3,0,36,19,54.3,0,80,49
Curtis Samuel,35,332,2,3,0,37,15,42.9,0,134,43
Tyler Boyd,33,244,2,1,0,22,12,36.4,0,92,44
Nico Collins,33,577,3,13,2,52,25,75.8,0,256,48
Mike Evans,33,507,5,9,2,70,19,57.6,0,134,55
Calvin Ridley,33,451,2,9,0,32,19,57.6,1,76,58
