Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Marvin Mims Jr.,20.3,7,142,0,3,1,45,5,1
Charlie Jones,18.8,8,150,1,1,1,81,2,0
Rashid Shaheed,16.2,13,211,1,2,1,76,16,0
Britain Covey,14.7,15,220,0,5,1,52,7,1
Devin Duvernay,14.3,16,229,0,3,1,70,12,0
Myles Bryant,14,1,14,0,0,0,14,2,0
DeeJay Dallas,12.7,14,178,0,3,0,32,7,1
Mason Kinsey,12.5,4,50,0,1,0,21,1,0
Xavier Gipson,12.1,13,157,1,1,1,65,10,2
Christian Kirk,12,1,12,0,0,0,12,2,0
Mecole Hardman,11.8,4,47,0,1,1,50,2,1
Derius Davis,11.6,11,128,0,2,0,26,6,1
Elijah Moore,11.5,2,23,0,0,0,13,0,0
Trenton Irwin,11.3,7,79,0,2,0,28,2,1
Rondale Moore,11,1,11,0,0,0,11,3,0
Jamal Agnew,10.6,11,117,0,1,1,48,8,0
Jamison Crowder,10.5,15,158,0,2,1,61,6,1
Kalif Raymond,10.4,15,156,0,1,0,24,12,0
Isaiah McKenzie,10.3,14,144,0,2,0,32,12,1
Ray-Ray McCloud,10.1,15,152,0,0,0,19,7,0
Braxton Berrios,10,9,90,0,0,0,18,12,0
Deuce Vaughn,10,1,10,0,0,0,10,0,0
Keisean Nixon,9.8,6,59,0,1,0,34,0,0
Jaelon Darden,9.8,4,39,0,0,0,11,1,0
Jayden Reed,9.7,6,58,0,1,0,35,6,1
Trent Taylor,9.6,7,67,0,0,0,14,9,0
Tank Dell,9.4,8,75,0,1,0,20,4,1
Gunner Olszewski,9.1,7,64,0,0,0,15,3,2
DeAndre Carter,9.1,9,82,0,0,0,18,4,1
Deonte Harty,9,11,99,0,2,0,24,12,1
Demario Douglas,8.2,6,49,0,1,0,25,4,0
Kearis Jackson,8,6,48,0,0,0,14,3,0
Montrell Washington,7.6,8,61,0,1,0,23,4,2
Greg Dortch,7.4,12,89,0,0,0,19,5,0
Marcus Jones,7,3,21,0,1,0,21,1,1
Brandon Powell,7,17,119,0,1,0,20,6,1
Kyren Williams,7,3,21,0,0,0,11,5,0
Robert Woods,6.8,4,27,0,0,0,10,6,0
Jabrill Peppers,6.5,4,26,0,0,0,18,3,1
Donovan Peoples-Jones,6.5,13,84,0,0,0,13,8,1
Eric Garror,6.4,5,32,0,0,0,15,1,0
Mike Hughes,6.1,11,67,0,0,0,16,10,0
Ihmir Smith-Marsette,6.1,16,97,0,0,0,15,7,0
Kyle Philips,5.8,4,23,0,0,0,12,0,1
KaVontae Turpin,5.6,8,45,0,0,0,15,11,0
Deven Thompkins,5.1,9,46,0,0,0,16,7,2
Austin Trammell,5,8,40,0,1,0,29,5,1
Parker Washington,5,1,5,0,0,0,5,0,0
Calvin Austin III,4.9,9,44,0,0,0,14,4,0
Eric Gray,4,7,28,0,0,0,14,5,2
Richie James,4,6,24,0,0,0,9,2,1
Scott Miller,4,1,4,0,0,0,4,0,0
Sterling Shepard,3.3,3,10,0,0,0,5,2,1
Tevaughn Campbell,0,1,0,0,0,0,0,0,1
Dee Alford,0,1,0,0,0,0,0,1,0
Jalen Tolbert,0,1,0,0,0,0,0,0,1
Ced Wilson,0,1,0,0,0,0,0,0,0
