Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Lions,14,37,517,2,6,2,88T,22,4
Packers,10.7,27,289,0,3,1,65,22,2
Bears,10.5,32,337,2,4,2,61,16,1
Rams,10.2,45,458,0,8,2,53T,11,6
Ravens,10.1,32,322,1,2,1,77T,27,4
Buccaneers,9.6,20,192,0,1,1,44,14,1
Jaguars,9.6,34,325,1,3,2,72,30,3
Vikings,9.5,39,372,0,3,1,46T,26,1
Chargers,9.2,28,259,1,4,2,65T,26,2
49ers,8.9,34,304,0,2,0,39,17,1
Eagles,8.9,29,259,0,2,1,76,20,4
Bills,8.9,24,213,0,2,1,40,13,2
Cowboys,8.9,31,275,1,2,1,83T,15,1
Bengals,8.7,47,409,0,6,1,40,19,6
Broncos,8.6,41,351,0,5,1,44,22,8
Titans,8.5,36,305,0,3,1,46,9,1
Texans,8.5,35,296,0,4,1,49,20,3
Patriots,8.2,32,263,0,3,1,40T,21,1
Panthers,8,40,318,1,2,1,60T,17,3
Falcons,7.4,27,201,0,1,0,27,21,2
Dolphins,7.3,37,271,0,2,0,27,14,1
Cardinals,7,41,288,0,1,0,20,30,0
Steelers,6.9,30,207,0,2,0,27,20,2
Seahawks,6.6,36,237,0,2,0,27,21,0
Saints,6.4,34,218,0,1,0,24T,23,4
Chiefs,6.3,35,220,1,3,1,82,10,4
Redskins,6.1,29,178,0,1,0,29T,22,5
Colts,6,27,162,0,2,0,30,13,1
Browns,5.8,38,221,0,1,0,25,19,7
Raiders,5.7,27,155,0,0,0,19,21,7
Giants,5.5,27,148,0,1,0,20,23,2
Jets,4.5,38,171,0,1,0,25,22,6
