Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Rams,103,6658,78,75.7,23,22.6,0,0,2,0
Patriots,99,6228,40,40.4,58,18.9,1,0,0,0
Chiefs,97,6232,71,73.2,25,19.4,0,0,0,0
Saints,95,6076,59,62.1,32,24.6,3,0,1,0
Eagles,94,5880,45,47.9,47,21.6,1,1,1,0
Jaguars,92,5473,48,52.2,40,20.4,3,1,2,1
Lions,91,5769,47,51.6,43,20.4,1,0,0,0
Ravens,90,5610,55,61.1,33,18.6,2,0,0,0
Steelers,90,5720,46,51.1,43,21.1,0,0,1,0
Vikings,89,5638,44,49.4,45,22.7,0,0,0,0
Falcons,84,5332,49,58.3,33,26.2,2,0,0,0
Panthers,83,5313,70,84.3,12,21.2,1,0,1,0
49ers,83,5201,64,77.1,15,20.1,2,1,1,0
Cowboys,80,5159,45,56.2,35,21.7,0,0,0,0
Titans,80,5120,47,58.8,32,23.4,1,0,0,0
Seahawks,80,4986,39,48.8,39,20.3,1,0,1,0
Redskins,79,4987,53,67.1,24,18.7,2,0,1,0
Cardinals,77,4715,34,44.2,40,22,2,0,1,1
Chargers,77,4924,31,40.3,46,25,0,0,0,0
Buccaneers,77,4704,27,35.1,47,24.8,3,0,0,2
Texans,76,4764,49,64.5,27,20.3,1,0,0,0
Bills,74,4365,37,50,31,22,6,1,0,0
Broncos,73,4309,45,61.6,22,22.6,6,0,0,1
Jets,72,4404,45,62.5,23,20,4,1,1,0
Colts,70,4390,46,65.7,23,19.2,1,0,0,0
Packers,68,4246,36,52.9,30,22.2,2,2,0,0
Bengals,67,4248,31,46.3,35,23.2,0,0,1,0
Dolphins,67,4015,28,41.8,34,19.6,5,4,0,0
Raiders,64,4058,48,75,15,19.9,1,1,0,0
Giants,62,3849,26,41.9,32,20.5,2,0,2,0
Bears,60,3780,28,46.7,32,21.8,0,0,0,1
Browns,57,3350,33,57.9,20,23.6,4,0,0,1
