Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Saints,95,29,8,3,35,20,420
Giants,86,32,7,3,50,26,424
Colts,104,37,12,7,49,22.5,490
Lions,80,28,8,5,32,21.9,421
Rams,91,35,9,5,48,24.2,439
Eagles,88,36,13,6,25,20.3,413
Patriots,95,36,7,3,40,19.4,453
Ravens,111,41,13,5,35,21.7,461
Jaguars,99,35,20,10,36,22.8,462
Falcons,86,29,7,2,30,16.6,420
Bears,90,43,8,5,36,21.4,432
Chiefs,89,33,14,7,36,22.4,420
Cardinals,84,39,6,2,61,29.2,452
Browns,80,22,3,2,26,16.9,329
Texans,83,38,4,0,45,26.8,391
Bills,85,36,7,2,40,23.1,411
Cowboys,74,26,11,5,32,19.9,347
Vikings,94,42,9,6,54,26.2,457
Panthers,70,24,5,3,50,28.1,362
Steelers,84,35,8,2,43,23.6,412
Commanders,99,38,10,6,49,24.4,460
Chargers,71,26,10,7,37,25,400
Bengals,75,31,7,2,45,26.5,383
Buccaneers,86,43,5,3,35,23,386
Packers,84,30,11,8,53,27.5,400
Raiders,90,41,8,5,57,27.5,437
Broncos,81,32,11,6,54,25.2,455
49ers,93,38,10,5,37,26.1,437
Jets,86,40,2,1,46,24.9,412
Titans,81,33,6,4,34,20,378
Dolphins,95,38,14,6,58,28.7,466
Seahawks,89,41,12,4,32,21.3,407
