Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,10,10,20,0
49ers,9,5,14,0
Ravens,8,4,12,1
Bills,6,9,16,0
Lions,6,6,13,0
Rams,6,3,9,0
Colts,5,5,10,2
Eagles,5,5,11,1
Chargers,5,8,13,1
Seahawks,5,5,12,1
Commanders,5,4,10,1
Cowboys,4,4,11,2
Cardinals,4,4,8,1
Falcons,3,3,6,0
Browns,3,4,7,3
Packers,3,8,12,2
Titans,3,3,6,0
Jaguars,3,4,8,0
Chiefs,3,8,11,0
Giants,3,2,5,0
Bears,2,7,9,1
Raiders,2,5,7,1
Saints,2,2,5,0
Panthers,1,4,6,1
Bengals,1,2,4,0
Broncos,1,9,11,0
Texans,1,7,9,0
Patriots,1,5,6,0
Jets,1,4,6,1
Buccaneers,1,7,9,1
Vikings,0,11,11,0
Steelers,0,4,5,0
