Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,108,1214,11.2,11,19,3,62,58,53.7,2
Chargers,104,1155,11.1,8,18,3,51T,52,50,3
Rams,103,1229,11.9,3,18,2,46,62,60.2,0
Bills,101,1048,10.4,9,11,3,55,52,51.5,0
Panthers,101,864,8.6,4,7,1,47T,45,44.6,1
Cowboys,99,928,9.4,4,11,1,49T,50,50.5,3
Jaguars,99,951,9.6,4,10,1,45,48,48.5,3
Dolphins,99,1373,13.9,10,18,3,68,66,66.7,1
Patriots,97,955,9.8,5,7,2,58T,45,46.4,2
Texans,95,1218,12.8,7,17,4,68,56,59,0
Chiefs,95,1037,10.9,8,12,1,54T,47,49.5,2
Commanders,94,961,10.2,4,11,0,37T,41,43.6,1
Saints,92,885,9.6,2,11,4,45T,41,44.6,0
Giants,92,771,8.4,2,8,1,58,35,38,2
Lions,91,1029,11.3,6,18,1,45,50,55,2
Broncos,89,1014,11.4,9,13,5,60,41,46.1,3
Raiders,88,947,10.8,5,8,0,32T,45,51.1,0
Eagles,88,959,10.9,5,12,3,63,39,44.3,0
Bengals,87,728,8.4,2,4,1,43,36,41.4,0
Colts,87,877,10.1,5,12,1,43,44,50.6,2
Cardinals,87,814,9.4,4,8,2,69,41,47.1,0
Buccaneers,87,882,10.1,7,12,2,70,42,48.3,2
Seahawks,86,909,10.6,5,10,1,51T,45,52.3,0
Browns,84,799,9.5,4,7,1,43,39,46.4,2
49ers,81,1019,12.6,5,15,2,42,54,66.7,2
Steelers,80,821,10.3,4,9,2,72,29,36.2,2
Bears,79,861,10.9,7,14,0,33,43,54.4,1
Ravens,78,794,10.2,4,11,2,52,35,44.9,1
Falcons,74,744,10,3,8,1,45,36,48.6,0
Packers,74,901,12.2,8,11,2,51T,42,56.8,0
Jets,72,712,9.9,4,9,1,68T,31,43.1,0
Titans,68,790,11.6,3,12,4,70,33,48.5,1
