Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Eagles,140,661,4.7,5,4,1,43,43,30.7,2
Ravens,139,605,4.4,8,2,0,22T,37,26.6,2
Cowboys,137,565,4.1,4,4,1,46,33,24.1,1
Lions,135,546,4,6,2,1,40,31,23,1
49ers,132,612,4.6,9,2,2,65T,35,26.5,2
Browns,131,575,4.4,3,3,2,69T,31,23.7,3
Bills,119,552,4.6,6,4,0,36,36,30.2,2
Chiefs,117,548,4.7,3,3,1,48T,36,30.8,1
Buccaneers,117,348,3,1,0,0,14,20,17.1,0
Colts,115,463,4,5,4,0,24,26,22.6,3
Falcons,113,512,4.5,3,4,0,38,31,27.4,0
Texans,113,349,3.1,1,0,0,14,17,15,2
Chargers,113,479,4.2,5,3,2,55,30,26.6,0
Jaguars,112,400,3.6,3,2,0,26T,22,19.6,1
Dolphins,112,707,6.3,10,7,5,67,31,27.7,5
Rams,111,416,3.8,6,2,0,22,27,24.3,1
Patriots,110,374,3.4,1,0,0,18,25,22.7,0
Cardinals,109,574,5.3,4,8,2,45T,29,26.6,3
Titans,104,444,4.3,3,3,0,29,24,23.1,1
Bears,102,476,4.7,2,4,0,29,26,25.5,1
Saints,101,350,3.5,2,0,0,19,21,20.8,2
Seahawks,99,434,4.4,5,2,0,36,26,26.3,0
Panthers,96,381,4,1,2,0,26,23,24,2
Giants,95,376,4,3,0,0,18T,25,26.3,1
Commanders,92,426,4.6,5,3,0,27,32,34.8,3
Packers,91,298,3.3,3,2,0,24,16,17.6,2
Steelers,87,315,3.6,0,3,0,24,18,20.7,1
Raiders,86,261,3,2,1,0,34,18,20.9,2
Broncos,84,382,4.6,1,1,0,31,23,27.4,0
Jets,82,382,4.7,1,3,2,83T,19,23.2,5
Bengals,76,280,3.7,1,1,0,22,16,21,0
Vikings,73,334,4.6,0,0,0,17,13,17.8,3
