Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Falcons,26.5,46,1221,1,35,5,102T,0,0
Bears,25.4,59,1497,0,38,10,79,1,1
Jets,25.2,63,1588,2,35,6,97T,0,0
Lions,24.9,61,1519,1,43,5,105,0,1
Cardinals,24.8,84,2084,2,53,7,102,0,1
Ravens,24.7,55,1357,1,36,2,103T,1,2
Broncos,24.3,59,1435,1,35,4,97T,0,4
Buccaneers,24.3,57,1386,1,36,4,89T,0,1
Titans,24.3,64,1556,1,42,4,98T,0,2
Seahawks,24,65,1558,3,35,7,101T,0,2
Chargers,24,56,1342,0,39,2,45,0,1
Jaguars,23.8,80,1903,0,55,5,65T,0,3
Steelers,23.5,49,1153,1,32,3,89T,0,2
Redskins,23,73,1680,1,48,5,96T,0,2
Saints,22.7,52,1181,0,39,0,39,0,1
Raiders,22.5,68,1532,3,33,4,101,0,4
Vikings,22.3,64,1427,1,37,6,95,1,2
Patriots,22,56,1231,2,28,3,103,1,1
Panthers,21.9,74,1619,0,40,5,64,0,2
Bengals,21.8,71,1551,0,40,4,60,0,2
Rams,21.8,74,1614,0,47,1,84T,0,2
Dolphins,21.4,56,1199,0,30,2,46T,1,1
Cowboys,21.2,74,1572,0,41,4,43,0,2
Bills,21.1,69,1458,1,35,3,95,0,4
Eagles,20.5,62,1272,0,34,2,46,1,3
Packers,20.2,62,1249,0,31,5,51,0,2
Texans,19.8,67,1326,0,39,1,50T,0,0
Chiefs,19.7,58,1140,0,28,0,36T,1,1
Colts,19.6,67,1310,1,35,1,41T,0,1
Niners,19.5,61,1187,0,25,3,61T,0,1
Giants,19,57,1082,0,27,1,42,0,0
Browns,17,70,1191,0,25,0,37,0,3
