Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Patriots,100,6397,17,17,81,22.5,0,0,1,1
Eagles,96,6214,23,24,69,21.8,2,1,2,0
Chargers,96,5924,6,6.2,84,22.4,4,1,3,3
Raiders,93,6091,29,31.2,61,23.2,1,0,1,1
Colts,91,6069,16,17.6,73,25.8,2,0,0,1
Falcons,88,5945,23,26.1,64,21.3,1,0,0,1
Texans,86,5695,13,15.1,72,24.2,2,1,0,1
Steelers,86,5213,7,8.1,77,20,2,0,1,1
Cowboys,85,5654,22,25.9,56,24.3,3,0,3,1
Giants,85,5295,7,8.2,77,19.7,0,0,1,0
Packers,84,5173,4,4.8,76,21.8,1,1,3,0
Saints,84,5481,14,16.7,66,24.1,2,0,2,0
Jets,81,5025,7,8.6,73,19.6,0,0,1,0
Ravens,79,5620,40,50.6,38,26,0,0,1,0
Bears,78,5018,16,20.5,59,23.8,1,0,2,0
Broncos,78,4973,22,28.2,51,24.7,5,2,0,1
Chiefs,78,4794,8,10.3,66,20.2,2,0,2,1
Buccaneers,78,4811,1,1.3,75,20.7,2,0,0,1
Lions,77,4775,3,3.9,72,20.6,2,1,0,1
Bengals,76,4692,8,10.5,64,23.5,3,1,1,2
Titans,76,5071,17,22.4,56,24.8,1,1,2,1
Jaguars,76,5044,15,19.7,59,21.5,1,0,2,1
Rams,73,4866,5,6.8,65,23.7,2,0,2,1
Seahawks,73,4745,20,27.4,50,22,3,0,1,0
Niners,72,4482,5,6.9,67,22.2,0,0,0,1
Redskins,72,4693,9,12.5,61,19,1,0,1,0
Dolphins,70,4603,14,20,53,24.6,0,0,3,2
Cardinals,70,4552,16,22.9,51,24.2,3,0,0,0
Bills,68,4277,8,11.8,57,21.7,1,0,1,0
Browns,67,4057,7,10.4,54,17.8,4,0,2,0
Vikings,65,4050,3,4.6,61,23.8,1,0,0,1
Panthers,58,3811,11,19,45,23.6,3,0,1,0
