Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Broncos,488,2021,4.1,11,101,20.7
Texans,378,1536,4.1,8,73,19.3
Niners,353,1236,3.5,3,53,15
Jaguars,435,1667,3.8,14,73,16.8
Chiefs,508,2112,4.2,14,96,18.9
Dolphins,412,1530,3.7,8,88,21.4
Raiders,430,2178,5.1,15,105,24.4
Ravens,419,1482,3.5,10,79,18.8
Bears,384,1542,4,10,75,19.5
Bengals,425,1675,3.9,14,94,22.1
Falcons,372,1552,4.2,10,87,23.4
Eagles,414,1801,4.4,11,84,20.3
Vikings,439,1712,3.9,10,92,21
Panthers,451,2093,4.6,18,110,24.4
Seahawks,473,1797,3.8,10,96,20.3
Jets,451,1777,3.9,17,83,18.4
Patriots,405,1874,4.6,13,101,24.9
Chargers,448,1955,4.4,8,102,22.8
Steelers,399,1597,4,7,82,20.6
Saints,351,1738,5,11,92,26.2
Browns,534,2359,4.4,12,124,23.2
Giants,435,1940,4.5,15,103,23.7
Rams,510,2433,4.8,17,122,23.9
Cowboys,385,1585,4.1,10,78,20.3
Redskins,438,1884,4.3,15,95,21.7
Packers,383,1789,4.7,10,96,25.1
Bills,467,2224,4.8,19,120,25.7
Cardinals,475,1986,4.2,15,118,24.8
Colts,540,2303,4.3,19,136,25.2
Titans,461,2053,4.4,10,111,24.1
Lions,410,2050,5,10,91,22.2
Buccaneers,498,2497,5,26,135,27.1
