Team,INT,INT TD,INT Yds,Lng
Packers,31,4,468,76
Patriots,23,2,296,38
Niners,23,1,284,48T
Seahawks,22,4,462,94
Lions,21,5,458,100
Bills,20,4,341,43
Bears,20,4,177,44
Chiefs,20,2,283,59
Giants,20,0,157,31
Falcons,19,2,301,50
Jets,19,2,378,100
Raiders,18,0,252,73
Texans,17,1,196,42
Jaguars,17,0,160,30T
Chargers,17,1,260,64
Dolphins,16,1,256,55
Ravens,15,1,175,73
Cowboys,15,1,217,43
Eagles,15,1,192,35T
Panthers,14,0,197,53
Buccaneers,14,3,195,43
Redskins,13,1,127,30
Rams,12,1,169,51T
Titans,11,1,179,97
Steelers,11,0,99,33T
Bengals,10,1,137,75
Cardinals,10,0,117,49
Browns,9,0,93,29T
Broncos,9,3,152,55
Saints,9,1,80,42
Colts,8,2,118,32
Vikings,8,0,152,52T
