Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Giants,35,42,83.3,1_1,13_13,12_11,11_8,0_0,0_0,56,0
Redskins,33,47,70.2,1_1,10_10,19_14,14_7,0_0,0_0,51,0
Colts,30,35,85.7,0_0,6_5,12_11,12_10,0_0,0_0,55,1
Steelers,27,31,87.1,2_2,9_8,10_9,10_8,0_0,0_0,49,2
Lions,25,32,78.1,0_0,6_6,15_13,7_3,0_0,0_0,54,0
Vikings,25,33,75.8,0_0,10_9,14_12,9_4,0_0,0_0,44,0
49ers,25,30,83.3,0_0,11_11,10_10,5_3,0_0,0_0,52,1
Chiefs,24,30,80,1_1,5_5,6_6,14_10,0_0,0_0,58,1
Browns,22,25,88,1_1,9_9,6_5,7_6,0_0,0_0,58,0
Cowboys,22,27,81.5,0_0,5_5,8_8,12_9,0_0,0_0,47,0
Broncos,21,25,84,0_0,8_7,9_7,7_6,0_0,0_0,50,0
Packers,21,26,80.8,2_2,6_6,9_7,9_6,0_0,0_0,48,2
Raiders,21,27,77.8,0_0,11_9,9_8,6_4,0_0,0_0,47,1
Dolphins,18,27,66.7,2_2,6_6,8_5,6_3,0_0,0_0,52,1
Saints,18,24,75,2_2,8_8,4_3,6_2,0_0,0_0,52,2
Seahawks,18,25,72,1_1,4_4,7_4,10_8,0_0,0_0,54,0
Falcons,17,22,77.3,0_0,5_4,5_4,11_9,0_0,0_0,49,0
Oilers,17,21,81,1_1,4_4,8_7,6_4,0_0,0_0,51,1
Bengals,16,23,69.6,2_2,7_7,7_5,5_2,0_0,0_0,47,1
Jets,16,24,66.7,4_4,4_3,7_5,8_4,0_0,0_0,49,2
Eagles,15,26,57.7,1_1,5_5,9_6,8_2,0_0,0_0,52,1
Cardinals,15,28,53.6,1_0,6_4,8_3,10_6,0_0,0_0,52,2
Chargers,15,24,62.5,0_0,7_7,7_5,7_2,0_0,0_0,51,1
Bears,14,25,56,1_1,9_9,4_0,6_3,0_0,0_0,50,0
Bills,11,26,42.3,0_0,5_3,8_5,9_3,0_0,0_0,48,2
Rams,11,20,55,0_0,6_4,5_4,8_3,0_0,0_0,49,5
Buccaneers,10,24,41.7,0_0,9_7,4_0,8_3,0_0,0_0,49,1
Patriots,9,22,40.9,0_0,5_4,9_4,8_1,0_0,0_0,43,1
