Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Mark Brunell,4367,7.8,557,353,63.4,19,20,84,208,37.3,40,13,62,50,257
Vinny Testaverde,4177,7.6,549,325,59.2,33,19,88.7,200,36.4,59,10,86,34,270
Drew Bledsoe,4086,6.6,623,373,59.9,27,15,83.7,206,33.1,45,3,84,30,190
Brett Favre,3899,7.2,543,325,59.8,39,13,95.8,194,35.7,49,11,80,40,241
Jeff Blake,3624,6.6,549,308,56.1,24,14,80.3,184,33.5,35,11,61,44,278
Gus Frerotte,3453,7.4,470,270,57.4,12,11,79.3,174,37,50,6,52,22,134
John Elway,3328,7.1,466,287,61.6,26,14,89.2,165,35.4,44,5,51,26,194
Bobby Hebert,3152,6.5,488,294,60.2,22,25,72.9,168,34.4,35,7,57,27,150
Troy Aikman,3126,6.7,465,296,63.7,12,13,80.1,158,34,31,5,61,18,120
Scott Mitchell,2917,6.7,437,253,57.9,17,17,74.9,151,34.6,36,3,62,36,199
Ty Detmer,2911,7.3,401,238,59.4,15,13,80.8,144,35.9,38,2,42,27,171
Trent Dilfer,2859,5.9,482,267,55.4,12,19,64.8,150,31.1,32,2,45,28,207
Jim Kelly,2810,7.4,379,222,58.6,14,19,73.2,122,32.2,37,7,67,37,287
Jim Everett,2797,6,464,267,57.5,12,16,69.4,124,26.7,33,5,51,19,154
Dan Marino,2795,7.5,373,221,59.2,17,9,87.8,128,34.3,39,10,74,18,131
Mike Tomczak,2767,6.9,401,222,55.4,15,17,71.8,136,33.9,36,7,70,16,105
Stan Humphries,2670,6.4,416,232,55.8,18,13,76.7,129,31,30,6,63,20,187
Jim Harbaugh,2630,6.5,405,232,57.3,13,11,76.3,129,31.8,32,6,51,36,190
Steve Bono,2572,5.9,438,235,53.6,12,13,68,135,30.8,34,4,69,22,161
Jeff Hostetler,2548,6.3,402,242,60.2,23,14,83.2,131,32.6,26,5,62,32,181
Tony Banks,2544,6.9,368,192,52.2,15,15,71,109,29.6,35,9,77,48,306
Kerry Collins,2454,6.7,364,204,56,14,9,79.4,116,31.9,29,4,55,18,114
Dave Brown,2412,6.1,398,214,53.8,12,20,61.2,132,33.2,21,0,37,49,276
Steve Young,2410,7.6,316,214,67.7,14,6,97.2,124,39.2,22,4,52,34,160
Boomer Esiason,2293,6.8,339,190,56,11,14,70.6,120,35.4,26,3,64,17,109
Dave Krieg,2278,6,377,226,60,14,12,76.3,127,33.7,22,2,53,14,104
Brad Johnson,2258,7.3,311,195,62.7,17,10,89.4,110,35.4,27,7,82,15,119
Frank Reich,2205,6.7,331,175,52.9,15,16,68.9,109,32.9,25,6,52,14,94
Chris Chandler,2099,6.6,320,184,57.5,16,11,79.7,110,34.4,21,3,63,25,153
John Friesz,1629,7.7,211,120,56.9,8,4,86.4,72,34.1,20,6,80,12,77
Kent Graham,1624,5.9,274,146,53.3,12,7,75.1,94,34.3,24,2,69,19,120
Warren Moon,1610,6.5,247,134,54.2,7,9,68.7,74,30,19,2,54,19,122
Rick Mirer,1546,5.8,265,136,51.3,5,12,56.6,74,27.9,18,5,60,22,84
