Player,Comb,Asst,Solo,Sck
Victor Green,163,42,121,2
Chris Spielman,156,47,109,0
Zach Thomas,155,35,120,2
Junior Seau,139,28,111,7
Derrick Brooks,134,41,93,0
Eric Hill,131,48,83,0
Roman Phifer,128,20,108,1.5
Ken Norton,127,21,106,0
Rodney Harrison,125,20,105,1
Sam Mills,121,31,90,5.5
Hardy Nickerson,117,44,73,3
Marvcus Patton,115,19,96,2
Ted Johnson,114,28,86,0
Winfred Tubbs,114,28,86,1
Jessie Armstead,113,31,82,3
Levon Kirkland,113,38,75,4
Stanley Richard,113,26,87,0
Jessie Tuggle,113,18,95,1
Mark Fields,112,22,90,2
Ray Lewis,110,16,94,2.5
Rod Stephens,110,25,85,1
Blaine Bishop,108,36,72,0
Dean Wells,107,25,82,1
Winston Moss,106,28,78,1
Micheal Barrow,105,38,67,6
Bennie Blades,105,28,77,0
Marvin Jones,103,28,75,1
John Lynch,103,29,74,1
Jason Sehorn,103,16,87,3
Fred Strickland,102,24,78,1
Jeff Brady,101,28,73,1.5
Corey Widmer,101,35,66,2
Greg Biekert,100,25,75,0
Marty Carter,100,13,87,0
Jason Belser,99,24,75,1
Dixon Edwards,99,31,68,3.5
Robert Blackmon,98,22,76,1
Mike A. Jones,98,16,82,1
Robert Jones,98,15,83,0
George Koonce,97,28,69,0
Tim McDonald,97,17,80,1
Stevon Moore,97,15,82,0
Robert Griffith,96,18,78,2
Lorenzo Lynch,96,25,71,0
Mike Zordich,96,32,64,0
Walt Harris,95,14,81,0
Steve Tovar,94,20,74,3
Jesse Campbell,93,29,64,0
Ken Harvey,93,14,79,9
Ted Washington,93,22,71,3.5
Willie Clay,91,19,72,0
Jamir Miller,91,36,55,1
Mark Collins,90,10,80,1
Greg Jackson,90,20,70,0
Matt Darby,89,29,60,0
Todd Lyght,89,13,76,0
Eddie Robinson,89,31,58,1
Terrance Shaw,89,13,76,0
Bruce Smith,89,21,68,13.5
Darren Woodson,89,17,72,3
Bo Orlando,88,12,76,1
LeRoy Butler,87,22,65,6.5
Gary Jones,87,31,56,0
Seth Joyner,86,21,65,5
Wayne Martin,86,16,70,11
Brian Dawkins,85,22,63,1
Ryan McNeil,85,17,68,0
Brian Washington,85,17,68,0.5
Kevin Hardy,84,22,62,5.5
Lawyer Milloy,84,30,54,1
Doug Evans,83,16,67,3
Anthony Newman,83,21,62,0
Marcus Robertson,83,25,58,0
Brian Williams,83,31,52,0.5
Darryl Williams,83,13,70,0
Allen Aldridge,82,14,68,0
Orlando Thomas,82,18,64,0
Steve Atwater,81,17,64,0
Tyrone Braxton,81,15,66,0
Chad Brown,81,31,50,13
Melvin Johnson,81,19,62,0
Eugene Robinson,81,26,55,0
Darrin Smith,81,27,54,1
Eric Swann,81,20,61,5
Eric Turner,81,13,68,0
Brent Alexander,80,29,51,0
Kurt Gouveia,80,14,66,1
Phil Hansen,80,20,60,8
Kevin Ross,80,11,69,0
Barron Wortham,80,30,50,2
Keith Lyle,79,16,63,0
Van Malone,79,26,53,0
Darren Perry,78,18,60,1
Donny Brady,77,8,69,0.5
Lamar Lathon,77,23,54,13.5
Michael McCrary,77,19,58,13.5
Bill Romanowski,77,21,56,3
Aeneas Williams,77,12,65,1
Martin Mayhew,76,16,60,1
Tracy Simien,76,12,64,0
Michael Bankston,75,33,42,0.5
Lonnie Marts,75,21,54,7
Darryl Morrison,75,10,65,0
Dewayne Washington,75,6,69,0
Willie Williams,75,10,65,1
James Willis,75,24,51,0
Bryant Young,75,15,60,11.5
Corey Harris,74,6,68,1
Joe Bowden,72,27,45,3
Joe Cain,72,15,57,1
Jeff Herrod,72,19,53,0
Bracy Walker,72,13,59,0
Shawn Wooden,72,14,58,0
Lewis Bush,71,16,55,1
Tom McManus,71,20,51,0
William Thomas,71,17,54,5.5
Rod Woodson,71,10,61,1
Anthony Davis,70,13,57,2.5
James Francis,70,8,62,3
Craig Newsome,70,10,60,0
Louis Oliver,70,22,48,0
Harlon Barnett,69,14,55,1
Ron George,69,20,49,2
Sean Gilbert,69,13,56,3
Pepper Johnson,69,16,53,0
Mark Maddox,69,25,44,0
Mickey Washington,69,12,57,0
Steve Grant,68,17,51,1
Darryll Lewis,68,13,55,0
Tyrone Poole,68,11,57,0
Marquez Pope,68,6,62,0
Kurt Schulz,68,15,53,0
Chris Slade,68,19,49,7
Carlton Bailey,67,21,46,2.5
Deon Figures,67,7,60,0
Cortez Kennedy,67,19,48,8
Willie McGinest,67,18,49,9.5
Mark McMillian,67,5,62,0
Todd F. Collins,66,19,47,0
Gerald McBurrows,66,7,59,0
Ronnie Bradford,65,15,50,0
Corey Fuller,65,11,54,0
Antonio London,65,23,42,3
Barry Minter,65,21,44,1.5
Jerry Olsavsky,65,18,47,0.5
Robert Porcher,65,21,44,10
Corey Raymond,65,7,58,0
Wayne Simmons,65,19,46,2.5
Bobby Taylor,65,7,58,1
John Mobley,64,12,52,1.5
Bernard Whittington,64,20,44,3
Donnell Woolford,64,7,57,0
Tito Wooten,64,16,48,0
Donnie Abraham,63,10,53,0
Tony Bennett,63,21,42,6
Merton Hanks,63,9,54,0
Fernando Smith,63,25,38,9.5
Ray Crockett,62,7,55,4
Dana Hall,62,20,42,0
Calvin Jackson,62,10,52,1.5
Ty Law,62,6,56,0
Jimmy Spencer,62,8,54,0
Michael Strahan,62,10,52,5
Mark Wheeler,62,26,36,1
Matt Brock,61,14,47,2
Ray Buchanan,61,8,53,0.5
Tom Carter,61,2,59,0
Ricardo McDonald,61,14,47,5
George Teague,61,10,51,0
Tony Tolbert,61,16,45,12
Devin Bush,60,8,52,0
Mike Croel,60,8,52,3
Chester McGlockton,60,4,56,8
Anthony Parker,60,7,53,0
Pat Terrell,60,10,50,0
Cornelius Bennett,59,8,51,3
Bryan Cox,59,14,45,3
Darrell Green,59,5,54,0
Sam Rogers,59,20,39,3.5
Phillippi Sparks,59,9,50,0
Eric Davis,58,4,54,0
Jason Gildon,58,12,46,7
Joe Johnson,58,10,48,7.5
Steve Morrison,58,12,46,0
Toby Wright,58,10,48,0
Cris Dishman,57,15,42,0
Rick Hamilton,57,17,40,1.5
Terry Wooden,57,14,43,0
Chad Cota,56,15,41,1
Tyronne Drakeford,56,8,48,2
Chris Hudson,56,15,41,0.5
Steve Jackson,56,11,45,2
Antonio Langham,56,5,51,0
Dedric Mathis,56,8,48,0
Lester Archambeau,55,14,41,2
Tony Brackens,55,10,45,7
Chad Cascadden,55,9,46,3
Darrien Gordon,55,6,49,2
Brock Marion,55,11,44,0
Leslie O'Neal,55,16,39,7
Marvin Washington,55,20,35,2.5
Alfred Williams,55,11,44,13
Bernard Wilson,55,21,34,1
Lee Woodall,55,14,41,2.5
Ashley Ambrose,54,6,48,0
Mike Caldwell,54,11,43,4.5
Dwight Hollier,54,12,42,1
Carnell Lake,54,10,44,2
Broderick Thomas,54,12,42,4.5
