Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Jerry Rice,108,1254,8,11,0,39,72,66.7,0,0,0
Herman Moore,106,1296,9,19,1,50,71,67,0,0,0
Carl Pickens,100,1180,12,15,4,61,63,63,0,0,0
Larry Centers,99,766,7,3,0,39,44,44.4,0,0,0
Cris Carter,96,1163,10,16,3,43,57,59.4,1,0,0
Brett Perriman,94,1021,5,6,1,44,59,62.8,0,0,0
Tim Brown,90,1104,9,16,2,42,58,64.4,1,0,0
Terry Glenn,90,1132,6,16,0,37,58,64.4,1,0,0
Irving Fryar,88,1195,11,15,2,42,66,75,0,0,0
Tony Martin,85,1171,14,15,4,55,59,69.4,0,0,0
Keenan McCardell,85,1129,3,8,4,52,57,67.1,1,0,0
Isaac Bruce,84,1338,7,19,5,70,60,71.4,1,0,0
Wayne Chrebet,84,909,3,7,1,44,48,57.1,1,0,0
Jimmy Smith,83,1244,7,14,5,62,60,72.3,1,0,0
Curtis Conway,81,1049,7,13,2,58,51,63,1,0,0
Shannon Sharpe,80,1062,10,16,2,51,52,65,1,0,0
Michael Jackson,76,1201,14,21,2,86,58,76.3,0,0,0
Bert Emanuel,75,921,6,11,5,53,48,64,0,0,0
O.J. McDuffie,74,918,8,15,0,36,50,67.6,3,0,0
Andre Hastings,72,739,6,5,0,38,42,58.3,0,0,0
Jake Reed,72,1320,7,19,5,82,56,77.8,0,0,0
Chris T. Jones,70,859,5,8,0,38,51,72.9,1,0,0
Terance Mathis,69,771,7,5,3,55,48,69.6,0,0,0
Frank Sanders,69,813,4,13,0,34,48,69.6,1,0,0
Andre Reed,66,1036,6,16,5,67,42,63.6,0,0,0
Mike Alstott,65,557,3,4,0,29,28,43.1,2,0,0
Marvin Harrison,64,836,8,15,1,41,43,67.2,0,0,0
Michael Irvin,64,962,2,12,3,61,46,71.9,1,0,0
Keyshawn Johnson,63,844,8,10,3,50,42,66.7,0,0,0
Derrick Alexander,62,1099,9,17,6,64,50,80.6,0,0,0
Ben Coates,62,682,9,6,1,84,37,59.7,1,0,0
Michael Timpson,62,802,0,8,1,49,45,72.6,2,0,0
Terrell Fletcher,61,476,2,2,1,41,21,34.4,1,0,0
Wesley Walls,61,713,10,4,1,40,44,72.1,0,0,0
Kimble Anders,60,529,2,5,1,45,25,41.7,0,0,0
Charles Johnson,60,1008,3,14,5,70,44,73.3,1,0,0
Mark Carrier,58,808,6,13,0,39,38,65.5,0,0,0
Rob Moore,58,1016,4,17,4,69,45,77.6,0,0,0
Darnay Scott,58,833,5,10,4,50,40,69,0,0,0
Joey Galloway,57,987,7,11,6,65,42,73.7,2,0,0
Marshall Faulk,56,428,0,3,0,30,18,32.1,1,0,0
Antonio Freeman,56,933,9,16,3,51,46,82.1,3,0,0
Anthony Miller,56,735,3,10,3,46,30,53.6,0,0,0
Brian Kinchen,55,581,1,8,0,29,26,47.3,0,0,0
Johnnie Morton,55,714,6,10,1,62,31,56.4,1,0,0
Sean Dawkins,54,751,1,8,1,42,39,72.2,1,0,0
Eddie Kennison,54,924,9,12,4,77,34,63,2,0,0
Amp Lee,54,422,2,2,0,21,25,46.3,2,0,0
Eric Metcalf,54,599,6,7,1,67,33,61.1,0,0,0
Chris Calloway,53,739,4,7,0,36,41,77.4,1,0,0
Thomas Lewis,53,694,4,7,0,34,38,71.7,0,0,0
Frank Wycheck,53,511,6,4,0,29,25,47.2,2,0,0
Henry Ellard,52,1014,2,21,3,51,49,94.2,0,0,0
Terry Kirby,52,439,1,3,2,52,17,32.7,0,0,0
Pete Mitchell,52,575,1,3,0,30,28,53.8,1,0,0
Ricky Watters,51,444,0,3,0,36,19,37.2,0,0,0
Quinn Early,50,798,4,11,2,95,35,70,0,0,0
Jeff Graham,50,788,6,11,3,78,37,74,0,0,0
Shawn Jefferson,50,771,4,11,1,42,39,78,2,0,0
Torrance Small,50,558,2,8,1,41,27,54,1,0,0
Jamal Anderson,49,473,1,9,0,34,19,38.8,1,0,0
Chris Penn,49,628,5,9,0,22,40,81.6,2,0,0
Eric Bjornson,48,388,3,5,0,25,21,43.8,1,0,0
Ed McCaffrey,48,553,7,8,0,39,32,66.7,0,0,0
Chris Sanders,48,882,4,12,5,83,36,75,0,0,0
Andre Rison,47,593,3,7,2,61,25,53.2,1,0,0
Emmitt Smith,47,249,3,1,0,21,12,25.5,3,0,0
Willie Green,46,614,3,8,1,50,33,71.7,0,0,0
Courtney Hawkins,46,544,1,7,1,45,31,67.4,0,0,0
Lonnie Johnson,46,457,0,6,0,33,17,37,1,0,0
Curtis Martin,46,333,3,5,1,41,15,32.6,1,0,0
Richie Anderson,44,385,0,3,2,48,16,36.4,0,0,0
Michael Haynes,44,786,4,12,4,51,35,79.6,1,0,0
Daryl Hobbs,44,423,3,3,0,29,26,59.1,0,0,0
Brian Blades,43,556,2,7,1,80,27,62.8,1,0,0
James Jett,43,601,4,5,2,58,33,76.7,0,0,0
Daryl Johnston,43,278,1,1,0,23,9,20.9,1,0,0
Kevin Turner,43,409,1,6,1,41,15,34.9,0,0,0
Jamie Asher,42,481,4,8,0,34,25,59.5,0,0,0
Ken Dilger,42,503,4,9,2,51,22,52.4,1,0,0
Ronnie Harmon,42,488,2,9,1,43,26,61.9,0,0,0
Tony Carter,41,233,0,2,0,29,8,19.5,1,0,0
Charlie Jones,41,524,4,6,2,63,24,58.5,0,0,0
Keith Jackson,40,505,10,6,2,51,28,70,0,0,0
Chris Warren,40,273,0,3,0,33,11,27.5,0,0,0
Don Beebe,39,699,4,11,5,80,25,64.1,0,0,0
Aaron Craver,39,297,1,3,0,39,13,33.3,0,0,0
Willie Davis,39,464,6,4,1,49,21,53.8,1,0,0
Tony McGee,38,446,4,1,0,22,29,76.3,0,0,0
Floyd Turner,38,461,2,5,0,27,26,68.4,0,0,0
Harold Green,37,246,1,0,0,19,15,40.5,0,0,0
Fred Barnett,36,562,3,11,2,66,24,66.7,1,0,0
Andre Coleman,36,486,2,6,2,50,20,55.6,1,0,0
Terrell Davis,36,310,2,2,0,23,16,44.4,0,0,0
Deion Sanders,36,475,1,4,1,41,25,69.4,2,0,0
Terrell Owens,35,520,4,7,2,46,23,65.7,1,0,0
Rickey Dudley,34,386,4,6,1,62,18,52.9,1,0,0
Derek Russell,34,421,2,4,0,29,22,64.7,0,0,0
Michael Westbrook,34,505,1,5,1,45,25,73.5,0,0,0
Bobby Engram,33,389,6,3,0,24,28,84.8,2,0,0
Sam Gash,33,276,2,1,0,28,15,45.4,0,0,0
Willie Jackson,33,486,3,6,2,58,21,63.6,0,0,0
Brent Jones,33,428,1,6,0,39,19,57.6,0,0,0
Dave Meggett,33,292,0,2,0,26,13,39.4,1,0,0
Stanley Pritchett,33,354,2,3,2,74,12,36.4,2,0,0
Robb Thomas,33,427,2,5,0,31,21,63.6,0,0,0
Terry Allen,32,194,0,1,0,28,6,18.8,2,0,0
Eric Bieniemy,32,272,0,1,1,42,13,40.6,0,0,0
Keith Byars,32,289,2,1,0,27,14,43.8,0,0,0
David Dunn,32,509,1,7,1,40,23,71.9,0,0,0
Raymont Harris,32,296,1,4,1,47,14,43.8,0,0,0
Brian Mitchell,32,286,0,1,0,20,14,43.8,0,0,0
Webster Slaughter,32,434,2,5,1,53,20,62.5,0,0,0
Charles Way,32,328,1,2,0,37,17,53.1,0,0,0
Edgar Bennett,31,176,1,1,0,25,6,19.4,0,0,0
Derrick Fenner,31,252,4,1,0,23,13,41.9,0,0,0
Dorsey Levens,31,226,5,1,1,49,14,45.2,0,0,0
Lorenzo Neal,31,194,1,1,0,23,10,32.3,1,0,0
J.J. Birden,30,319,2,2,1,57,12,40,2,0,0
Earnest Byner,30,270,1,2,1,40,9,30,0,0,0
Jackie Harris,30,349,1,6,0,36,16,53.3,1,0,0
James Stewart,30,177,2,3,0,21,7,23.3,0,0,0
Anthony Edwards,29,311,1,3,0,31,19,65.5,1,0,0
Tyrone Brown,28,325,1,5,0,38,13,46.4,0,0,0
Mark Chmura,28,370,0,5,0,29,19,67.9,0,0,0
Troy Drayton,28,331,0,4,1,51,10,35.7,0,0,0
Tommy Vardell,28,179,0,1,0,22,7,25,0,0,0
Marcus Allen,27,270,0,2,1,59,12,44.4,0,0,0
Howard Griffith,27,223,1,1,0,21,11,40.7,1,0,0
William Henderson,27,203,1,2,0,27,13,48.2,1,0,0
Sean LaChapelle,27,422,2,6,1,69,21,77.8,0,0,0
Henry Lusk,27,210,0,2,0,24,9,33.3,1,0,0
Dave Moore,27,237,3,1,0,23,15,55.6,0,0,0
Kevin R. Williams,27,323,1,3,0,31,20,74.1,0,0,0
Pat Carter,26,329,1,6,0,36,16,61.5,0,0,0
Carlester Crumpler,26,258,0,2,0,26,13,50,1,0,0
William Floyd,26,197,1,1,0,24,8,30.8,2,0,0
Anthony Johnson,26,192,0,2,1,55,5,19.2,0,0,0
Ted Popson,26,301,6,4,0,39,17,65.4,0,0,0
Thurman Thomas,26,254,0,2,1,69,9,34.6,0,0,0
Ricky Whittle,26,162,0,1,0,28,5,19.2,0,0,0
Kelvin Martin,25,380,1,4,1,60,21,84,1,0,0
Bam Morris,25,242,1,2,1,52,11,44,0,0,0
Muhsin Muhammad,25,407,1,7,1,54,15,60,0,0,0
Alfred Pupunu,24,271,1,3,1,41,10,41.7,1,0,0
Barry Sanders,24,147,0,1,0,28,5,20.8,0,0,0
Abdul-Karim al-Jabbar,23,139,0,1,0,23,6,26.1,0,0,0
Robert Brooks,23,344,4,6,0,38,18,78.3,0,0,0
Eddie George,23,182,0,0,0,17,12,52.2,0,0,0
Marc Logan,23,269,0,4,0,26,14,60.9,0,0,0
Ricky Proehl,23,309,2,4,1,56,14,60.9,0,0,0
Leslie Shepherd,23,344,3,5,2,52,18,78.3,0,0,0
Jerome Bettis,22,122,0,0,0,16,6,27.3,1,0,0
Ki-Jana Carter,22,169,1,1,0,20,7,31.8,0,0,0
Howard Cross,22,178,1,0,0,19,12,54.6,1,0,0
Chuck Evans,22,135,0,0,0,16,7,31.8,0,0,0
Qadry Ismail,22,351,3,5,1,54,19,86.4,0,0,0
Napoleon Kaufman,22,143,1,0,0,19,8,36.4,0,0,0
Lamont Warren,22,174,0,0,0,17,8,36.4,0,0,0
Harvey Williams,22,143,0,1,0,20,4,18.2,0,0,0
Karl Williams,22,246,0,2,0,25,17,77.3,0,0,0
Troy Brown,21,222,0,2,0,38,10,47.6,0,0,0
Randal Hill,21,409,4,7,4,61,15,71.4,1,0,0
Todd McNair,21,181,1,1,0,29,12,57.1,0,0,0
Bernie Parmalee,21,189,0,0,0,17,10,47.6,1,0,0
Roell Preston,21,208,1,0,0,17,12,57.1,0,0,0
Mike Pritchard,21,328,1,6,2,44,14,66.7,0,0,0
Steve Tasker,21,372,3,6,1,62,13,61.9,2,0,0
Tamarick Vanover,21,241,1,2,0,24,13,61.9,0,0,0
Ryan Wetnight,21,223,1,3,0,38,11,52.4,0,0,0
Marcus Dowdell,20,318,2,4,1,64,18,90,1,0,0
Haywood Jeffires,20,215,3,2,0,27,12,60,1,0,0
Jerris McPhail,20,282,0,4,1,52,14,70,0,0,0
Eric Moulds,20,279,2,4,1,47,11,55,0,0,0
Tony Cline,19,117,1,0,0,15,11,57.9,0,0,0
Alvin Harper,19,289,1,4,1,40,12,63.2,1,0,0
Andrew Jordan,19,128,0,0,0,15,5,26.3,0,0,0
Deems May,19,188,0,1,0,39,11,57.9,0,0,0
Mark Seay,19,260,0,4,0,35,11,57.9,0,0,0
Aaron Bailey,18,302,0,3,1,40,13,72.2,1,0,0
Lawrence Dawsey,18,233,0,3,0,28,11,61.1,0,0,0
Jerry Ellison,18,208,0,3,1,42,9,50,0,0,0
Christian Fauria,18,214,1,2,0,23,14,77.8,0,0,0
Earnest Hunter,18,163,0,2,0,25,6,33.3,0,0,0
Reggie Johnson,18,189,1,4,0,26,13,72.2,0,0,0
Terry Mickens,18,161,2,0,0,19,9,50,1,0,0
