Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
John Kasay,37,45,82.2,2/2,14/14,11/12,7/10,0/0,0/0,53,0
Cary Blanchard,36,40,90,1/1,11/11,8/9,11/14,0/0,0/0,52,1
Chris Boniol,32,36,88.9,1/1,13/13,12/13,5/7,0/0,0/0,52,1
Al Del Greco,32,38,84.2,0/0,7/7,14/16,10/12,0/0,0/0,56,1
Mike Hollis,30,36,83.3,2/2,9/9,12/14,5/8,0/0,0/0,53,0
Jeff Wilkins,30,34,88.2,0/0,16/16,7/8,7/10,0/0,0/0,49,0
John Carney,29,36,80.6,0/0,11/13,8/8,7/12,0/0,0/0,53,1
Todd Peterson,28,34,82.4,0/0,11/13,7/7,8/11,0/0,0/0,54,0
Adam Vinatieri,27,35,77.1,1/1,9/10,8/8,8/14,0/0,0/0,50,1
Scott Blanton,26,32,81.2,2/2,13/13,7/7,2/7,0/0,0/0,53,1
Gary Anderson,25,29,86.2,0/0,10/11,8/9,7/9,0/0,0/0,46,1
Michael Husted,25,32,78.1,2/2,7/8,8/11,7/8,0/0,0/0,50,0
Steve Christie,24,29,82.8,0/0,5/6,12/14,7/8,0/0,0/0,48,0
Brad Daluiso,24,27,88.9,2/2,10/10,9/9,3/6,0/0,0/0,46,0
Cole Ford,24,31,77.4,0/0,9/11,10/11,5/8,0/0,0/0,47,1
Norm Johnson,23,30,76.7,0/0,10/12,8/10,5/7,0/0,0/0,49,3
Doug Pelfrey,23,28,82.1,1/1,7/7,10/11,5/9,0/0,0/0,49,1
Morten Andersen,22,29,75.9,0/0,5/5,9/11,7/8,0/0,0/0,54,1
Scott Sisson,22,29,75.9,0/0,8/8,11/14,3/7,0/0,0/0,44,1
Doug Brien,21,25,84,0/0,4/4,9/10,5/7,0/0,0/0,54,1
Jason Elam,21,28,75,2/2,8/8,4/5,6/10,0/0,0/0,51,0
Chris Jacke,21,27,77.8,0/0,6/6,9/11,5/9,0/0,0/0,53,0
Chip Lohmiller,21,25,84,1/1,11/11,4/5,4/7,0/0,0/0,50,0
Jeff Jaeger,19,23,82.6,0/0,4/4,3/4,12/15,0/0,0/0,49,0
Matt Stover,19,25,76,0/0,8/8,5/6,5/10,0/0,0/0,50,0
Joe Nedney,18,29,62.1,1/1,7/7,7/11,3/8,0/0,0/0,44,0
Nick Lowery,17,24,70.8,0/0,9/9,6/7,2/8,0/0,0/0,46,0
Pete Stoyanovich,17,24,70.8,1/1,7/8,5/7,4/7,0/0,0/0,45,2
Kevin Butler,14,17,82.4,1/1,6/6,5/8,2/2,0/0,0/0,41,1
Jason Hanson,12,17,70.6,0/0,4/4,4/5,3/5,0/0,0/0,51,1
Greg Davis,9,14,64.3,0/0,7/9,1/2,1/3,0/0,0/0,49,1
Carlos Huerta,4,7,57.1,0/0,0/0,3/5,1/2,0/0,0/0,42,0
