Player,FF,FR,FR TD
Roy Barker,8,0,0
Kevin Carter,6,1,0
Tony Brackens,5,3,0
Chris Doleman,5,3,1
Jason Sehorn,5,0,0
Bruce Smith,5,1,0
Derrick Thomas,5,1,0
Micheal Barrow,4,1,0
Myron Bell,4,2,0
Robert Blackmon,4,1,0
Greg Kragen,4,2,0
Chris Mims,4,2,0
Rich Owens,4,0,0
Robert Porcher,4,2,0
John Randle,4,0,0
Michael Sinclair,4,0,0
Sam Adams,3,1,0
Trace Armstrong,3,2,0
Michael Bankston,3,1,0
Tony Bennett,3,0,0
Tyrone Braxton,3,1,0
Chad Brown,3,2,0
Toi Cook,3,1,0
Mike Croel,3,0,0
William Fuller,3,1,0
Darrell Green,3,1,0
Kevin Hardy,3,1,0
Walt Harris,3,2,0
Tim Jacobs,3,0,0
Joe Johnson,3,0,0
Leon Lett,3,2,0
Mike Mamula,3,2,1
Wayne Martin,3,1,0
Lonnie Marts,3,1,0
Clay Matthews,3,0,0
Chester McGlockton,3,0,0
Clyde Simmons,3,1,0
Chris Slade,3,0,0
Fernando Smith,3,2,0
Tony Tolbert,3,2,0
Troy Vincent,3,0,0
Reggie White,3,3,0
Alfred Williams,3,1,0
Brent Alexander,2,0,0
Steve Atwater,2,0,0
Mike Barber,2,1,0
Mike Bartrum,2,0,0
Jay Bellamy,2,0,0
Jason Belser,2,1,0
Cornelius Bennett,2,2,0
Greg Biekert,2,1,0
Vaughn Booker,2,1,0
Joe Bowden,2,0,0
Tim Bowens,2,1,0
Terrell Buckley,2,1,0
Sammie Burroughs,2,0,0
Mark Carrier,2,1,0
Chad Cascadden,2,1,0
Mark Collins,2,1,0
Ray Crockett,2,0,0
Eric Davis,2,0,0
Richard Dent,2,0,0
Hugh Douglas,2,3,1
Steve Emtman,2,1,0
Doug Evans,2,1,0
D'Marco Farr,2,0,0
Albert Fontenot,2,0,0
Dan Footman,2,0,0
Henry Ford,2,0,0
Jason Gildon,2,0,0
Victor Green,2,3,0
Kevin Greene,2,3,1
Robert Griffith,2,0,0
Travis Hall,2,1,0
Rick Hamilton,2,1,0
Richard Harvey,2,0,0
Harald Hasselbach,2,0,0
Chad Hennings,2,1,0
Danan Hughes,2,0,0
Greg Jackson,2,0,0
Carlos Jenkins,2,2,0
DeRon Jenkins,2,1,0
Brian Jones,2,1,1
Sean Jones,2,1,0
Levon Kirkland,2,0,0
Jason Kyle,2,0,0
Carnell Lake,2,2,1
Antonio London,2,0,0
John Lynch,2,1,0
Mark Maddox,2,0,0
Van Malone,2,0,0
Martin Mayhew,2,0,0
Willie McGinest,2,2,1
Lawyer Milloy,2,1,0
Kevin Miniefield,2,0,0
Hardy Nickerson,2,2,0
Bryce Paup,2,0,0
Darren Perry,2,1,0
Tony Peterson,2,0,0
Stanley Richard,2,0,0
Kevin Ross,2,1,0
Junior Seau,2,3,0
Wayne Simmons,2,0,0
Joel Smeenge,2,0,0
Alonzo Spellman,2,0,0
Ramondo Stallings,2,0,0
Danny Stubbs,2,0,0
Pat Swilling,2,1,0
Orlando Thomas,2,1,0
Zach Thomas,2,2,0
Keith Washington,2,0,0
Bernard Whittington,2,0,0
Corey Widmer,2,1,0
Gerald Williams,2,0,0
Jerrol Williams,2,1,0
Willie Williams,2,1,0
Darren Woodson,2,0,0
Devin Wyman,2,0,0
Trev Alberts,1,0,0
Allen Aldridge,1,0,0
Arnold Ale,1,0,0
Ashley Ambrose,1,0,0
Jessie Armstead,1,2,0
Carlton Bailey,1,0,0
Harlon Barnett,1,1,0
Michael Bates,1,0,0
Bill Bates,1,0,0
Fred Baxter,1,0,0
Aaron Beasley,1,0,0
Tommy Bennett,1,0,0
Blaine Bishop,1,0,0
Jocelyn Borgella,1,0,0
Tony Bouie,1,0,0
Marc Boutte,1,0,0
Stephen Boyd,1,0,0
Matt Brock,1,1,0
Derrick Brooks,1,0,0
Robert Brooks,1,0,0
Dennis Brown,1,1,0
Gilbert Brown,1,0,0
J.B. Brown,1,0,0
Tyrone Brown,1,0,0
John Browning,1,0,0
Darrick Brownlow,1,0,0
Tedy Bruschi,1,0,0
Rob Burnett,1,0,0
Jeff Burris,1,1,0
John Burrough,1,0,0
Devin Bush,1,1,0
LeRoy Butler,1,1,0
Joe Cain,1,0,0
Mike Caldwell,1,0,0
Cris Carter,1,1,0
Dale Carter,1,1,0
Marty Carter,1,0,0
Shante Carver,1,0,0
Tony Casillas,1,0,0
Wayne Chrebet,1,0,0
Willie Clay,1,1,0
Marco Coleman,1,0,0
Marcus Coleman,1,0,0
Ferric Collons,1,0,0
Anthony Cook,1,0,0
John Copeland,1,0,0
Bryan Cox,1,3,1
Keith Crawford,1,0,0
Eric Curry,1,0,0
Eugene Daniel,1,1,0
Don Davey,1,1,0
Anthony Davis,1,0,0
Antone Davis,1,0,0
Brian Dawkins,1,2,0
Brian DeMarco,1,0,0
Ken Dilger,1,0,0
Santana Dotson,1,1,0
Maurice Douglass,1,1,0
Tyronne Drakeford,1,1,0
Troy Drayton,1,0,0
Shane Dronett,1,0,0
Demetrius DuBose,1,0,0
Mike Dulaney,1,0,0
Vernon Edwards,1,0,0
Carlos Emmons,1,0,0
Bobby Engram,1,0,0
Ray Farmer,1,3,0
Mark Fields,1,1,0
Cedric Figaro,1,0,0
Terrell Fletcher,1,1,0
James Francis,1,3,0
Corey Fuller,1,0,0
James Fuller,1,0,0
Randy Fuller,1,0,0
William Gaines,1,0,0
Carwell Gardner,1,0,0
Aaron Glenn,1,0,0
Terry Glenn,1,0,0
Randall Godfrey,1,0,0
Jeff Gooch,1,0,0
Darrien Gordon,1,0,0
Carlton Gray,1,1,0
Don Griffin,1,0,0
Mark Gunn,1,0,0
Charles Haley,1,0,0
Bobby Hamilton,1,1,0
Merton Hanks,1,0,0
Phil Hansen,1,2,0
Roger Harper,1,0,0
Bernardo Harris,1,0,0
James Harris,1,1,0
Robert Harris,1,0,0
Martin Harrison,1,0,0
Rodney Harrison,1,1,0
Ken Harvey,1,2,0
Garrison Hearst,1,0,0
Kevin Henry,1,1,0
Dwight Hollier,1,0,0
Bobby Houston,1,1,0
Alfred Jackson,1,0,0
Steve Jackson,1,1,0
Tyoka Jackson,1,0,0
Tory James,1,1,0
Chris Johnson,1,0,0
Darrius Johnson,1,0,0
Melvin Johnson,1,1,0
Ted Johnson,1,1,0
Pepper Johnson,1,0,0
Jimmie Jones,1,2,0
Lenoy Jones,1,1,0
Donta Jones,1,0,0
Selwyn Jones,1,0,0
Seth Joyner,1,1,0
Joe Kelly,1,0,0
Cortez Kennedy,1,0,0
Shawn King,1,1,1
Antonio Langham,1,0,0
Lamar Lathon,1,2,0
Albert Lewis,1,0,0
Darryll Lewis,1,0,0
Sean Lumpkin,1,0,0
Keith Lyle,1,0,0
Lorenzo Lynch,1,0,0
Jason Maniecki,1,0,0
Anthony Marshall,1,0,0
Hurvin McCormack,1,0,0
Michael McCrary,1,1,0
Ricardo McDonald,1,0,0
Lenny McGill,1,1,0
Keith McKenzie,1,0,0
Jerris McPhail,1,0,0
Dave Meggett,1,1,0
Darren Mickell,1,0,0
Corey Miller,1,0,0
Les Miller,1,1,0
Charles Mincy,1,0,0
Kevin Mitchell,1,1,0
Anthony Newman,1,2,0
Craig Newsome,1,0,0
Bo Orlando,1,0,0
Chuck Osborne,1,0,0
Michael Dean Perry,1,1,0
Marquez Pope,1,1,0
Darryl Pounds,1,1,0
Mike Prior,1,0,0
Corey Raymond,1,0,0
Simeon Rice,1,1,0
James Roberson,1,1,0
Andre Royal,1,0,0
Deion Sanders,1,3,1
Jesse Sapolu,1,0,0
Warren Sapp,1,1,0
Craig Sauer,1,0,0
Corey Sawyer,1,0,0
Cory Schlesinger,1,0,0
Mike Scurlock,1,0,0
Terrance Shaw,1,0,0
Carl Simpson,1,2,0
Anthony Smith,1,1,0
Neil Smith,1,0,0
Rod Smith,1,0,0
Phillippi Sparks,1,0,0
Chris Spielman,1,2,0
Tony Stargell,1,0,0
Rod Stephens,1,1,0
Fred Stokes,1,0,0
Michael Strahan,1,0,0
Fred Strickland,1,1,0
Dana Stubblefield,1,1,0
David Tate,1,0,0
John Thierry,1,0,0
Broderick Thomas,1,3,0
Dave Thomas,1,0,0
Henry Thomas,1,1,0
Rodney Thomas,1,0,0
Keith Traylor,1,0,0
Winfred Tubbs,1,1,0
Jessie Tuggle,1,0,0
Eric Turner,1,0,0
Floyd Turner,1,0,0
Regan Upshaw,1,1,0
Frank Wainright,1,0,0
Bracy Walker,1,0,0
Darnell Walker,1,0,0
Gary Walker,1,1,0
Chris Warren,1,0,0
Marvin Washington,1,0,0
David White,1,2,1
Charlie Williams,1,0,0
James Willis,1,0,0
Bernard Wilson,1,1,0
Will Wolford,1,0,0
Tito Wooten,1,1,1
Barron Wortham,1,2,0
Toby Wright,1,0,0
Bryant Young,1,1,0
Rodney Young,1,0,0
Clifton Abraham,0,0,0
Donnie Abraham,0,2,0
Scott Adams,0,0,0
Vashone Adams,0,0,0
Ray Agnew,0,0,0
Louie Aguiar,0,0,0
Chidi Ahanotu,0,1,0
Ethan Albright,0,0,0
Derrick L. Alexander,0,1,0
Derrick Alexander,0,0,0
Elijah Alexander,0,0,0
Kevin Alexander,0,0,0
Patrise Alexander,0,0,0
Abdul-Karim al-Jabbar,0,0,0
Eric Allen,0,0,0
Larry Allen,0,0,0
Mike Alstott,0,0,0
Kimble Anders,0,0,0
Darren Anderson,0,1,0
Eddie Anderson,0,0,0
Gary Anderson,0,0,0
Jamal Anderson,0,1,0
Richie Anderson,0,1,0
Willie Anderson,0,0,0
Lester Archambeau,0,0,0
Bruce Armstrong,0,0,0
Jamie Asher,0,0,0
Joe Aska,0,0,0
Gene Atkins,0,0,0
James Atkins,0,0,0
Aaron Bailey,0,0,0
Henry Bailey,0,0,0
Robert Bailey,0,0,0
Myron Baker,0,0,0
Randy Baldwin,0,0,0
Jerry Ball,0,1,0
Howard Ballard,0,0,0
Romeo Bandison,0,0,0
Brad Banta,0,0,0
Bryan Barker,0,0,0
Reggie Barlow,0,0,0
Tomur Barnes,0,0,0
Fred Barnett,0,0,0
Troy Barnett,0,0,0
Patrick Bates,0,1,0
Marco Battaglia,0,1,0
Martin Bayless,0,0,0
Willie Beamon,0,0,0
Aubrey Beavers,0,0,0
Ian Beckles,0,0,0
Don Beebe,0,0,0
Tom Beer,0,0,0
Ricky Bell,0,0,0
William Bell,0,0,0
Daved Benefield,0,0,0
Darren Bennett,0,0,0
Donnell Bennett,0,0,0
Edgar Bennett,0,0,0
Pete Bercich,0,1,0
Mitch Berger,0,0,0
Duane Bickett,0,0,0
Eric Bieniemy,0,0,0
Greg Bishop,0,0,0
Eric Bjornson,0,0,0
Brian Blades,0,0,0
Bennie Blades,0,0,0
Harry Boatswain,0,0,0
Juran Bolden,0,0,0
Shane Bonham,0,0,0
Chris Boniol,0,0,0
Issac Booth,0,0,0
Tony Boselli,0,0,0
Kirk Botkin,0,0,0
