Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Terrell Buckley,48,1,48,0,1,1,48,0,0
Andre Hastings,42,1,42,0,1,1,42,0,0
Michael Bates,30.2,33,998,1,24,5,93,0,2
Rod Smith,29,1,29,0,1,0,29,0,0
Herschel Walker,28.8,27,779,0,16,6,89,0,0
James McKnight,28.7,3,86,0,1,1,55,0,0
Bryan Still,28.2,4,113,0,4,0,37,0,0
Karl Williams,27.4,14,383,0,11,2,63,0,1
Don Beebe,26.9,15,403,1,10,1,90,0,1
Thomas Lewis,26.8,4,107,0,2,1,47,0,0
Tamarick Vanover,25.9,33,854,1,22,3,97,0,0
Tyrone Hughes,25.6,70,1791,0,52,8,58,0,0
Glyn Milburn,25.4,64,1627,0,46,4,65,0,0
Erric Pegram,24.6,17,419,1,9,2,91,0,0
Jimmy Smith,24.5,2,49,0,2,0,29,0,0
Mel Gray,24.5,50,1224,0,32,3,88,0,2
Vaughn Hebron,24.4,45,1099,0,29,5,59,0,2
Marcus Dowdell,24.4,5,122,0,4,0,31,0,0
Irving Spikes,24.3,28,681,0,22,1,59,0,0
Bucky Brooks,24.2,17,412,0,13,0,36,0,0
Aaron Bailey,24.2,43,1041,1,27,2,95,0,2
Tim Brown,24,1,24,0,1,0,24,0,0
Derrick Witherspoon,24,53,1271,2,38,2,97,0,1
Corey Harris,23.7,7,166,0,5,1,41,0,0
James Hundon,23.7,10,237,0,7,0,31,0,0
Jerome Woods,23.2,25,581,0,14,1,66,0,1
Bobby Engram,23.2,25,580,0,16,1,45,0,0
Eric Moulds,23.2,52,1205,1,33,1,97,0,1
Dave Meggett,23,34,781,0,22,2,54,0,3
Jack Jackson,22.9,27,619,0,16,1,60,0,2
Derek Loville,22.9,10,229,0,8,0,35,0,0
Winslow Oliver,22.9,7,160,0,4,0,33,0,0
Steve Broussard,22.8,43,979,0,27,2,86,0,1
Russell Copeland,22.7,6,136,0,3,1,47,0,0
Brock Marion,22.7,3,68,0,2,0,37,0,0
Brian Mitchell,22.5,56,1258,0,39,4,50,0,1
David Palmer,22.5,13,292,0,6,1,60,0,0
Kendricke Bullard,22.4,7,157,0,4,0,36,0,1
Kevin R. Williams,22.4,21,471,0,11,0,39,0,0
Jahine Arnold,22.4,19,425,0,14,0,30,0,0
Nilo Silvan,22.4,28,626,0,17,1,54,0,0
David Dunn,22.3,35,782,1,17,3,90,0,1
Jerris McPhail,22.3,15,335,0,10,1,40,0,2
Dexter Carter,22.2,41,909,0,25,2,71,0,2
Andre Coleman,22,55,1210,0,29,3,57,0,3
Terry Kirby,22,1,22,0,1,0,22,0,0
Marvin Marshall,22,12,264,0,7,0,37,0,0
Napoleon Kaufman,21.9,25,548,0,15,0,39,0,0
Tyrone Wheatley,21.9,23,503,0,16,1,43,0,1
Troy Brown,21.9,29,634,0,17,1,51,0,0
Jermaine Lewis,21.5,41,883,0,24,2,44,0,2
Carl Kidd,21.4,29,622,0,17,1,48,0,1
J.T. Thomas,21.4,30,643,0,14,2,43,0,1
Ray Ethridge,21.4,8,171,0,5,0,29,0,0
Willie Jackson,21.3,7,149,0,4,0,27,0,0
Roell Preston,21.3,32,681,0,16,1,50,0,0
Randy Jordan,21.3,26,553,0,12,1,73,0,1
Leeland McElroy,21.3,54,1148,0,28,1,92,0,1
Reggie Cobb,21.2,23,488,0,14,0,34,0,0
Mark Stock,21.2,12,254,0,10,0,28,0,0
Eric Metcalf,21.1,49,1034,0,21,3,55,0,0
Danan Hughes,21,2,42,0,2,0,22,0,0
Ryan Terry,21,4,84,0,3,0,30,0,1
Iheanyi Uwaezuoke,21,1,21,0,1,0,21,0,0
Desmond Howard,20.9,22,460,0,13,1,40,0,0
Randy Baldwin,20.2,20,405,0,11,0,34,0,1
Charles Jordan,20.2,4,81,0,3,0,22,0,0
Conrad Hamilton,20.1,19,382,0,13,0,29,0,0
Corey Sawyer,20.1,12,241,0,5,0,33,0,0
Jamal Anderson,20,4,80,0,2,0,27,0,0
Ray Buchanan,20,1,20,0,1,0,20,0,0
Ronnie Harris,20,12,240,0,7,0,29,0,0
Raghib Ismail,20,5,100,0,2,0,30,0,0
Jeff Thomason,20,1,20,0,1,0,20,0,0
Jon Witman,20,1,20,0,1,0,20,0,0
Ricky Bell,19.8,6,119,0,4,0,28,0,1
Earnest Hunter,19.8,10,198,0,6,0,29,0,1
LeShon Johnson,19.8,10,198,0,6,0,27,0,1
Eddie Kennison,19.7,23,454,0,12,1,44,0,1
Henry Bailey,19.6,24,470,0,12,0,34,0,0
Charlie Garner,19.5,6,117,0,2,0,28,0,0
Harold Morrow,19.5,6,117,0,2,0,26,0,0
Alex Van Dyke,19.3,15,289,0,7,0,37,0,0
Jeff Hill,19.2,9,173,0,6,0,29,0,1
William Henderson,19,2,38,0,1,0,23,0,0
Leroy Hoard,19,1,19,0,0,0,19,0,0
Brian Kinchen,19,1,19,0,0,0,19,0,0
Kirby Dar Dar,18.9,7,132,0,2,0,25,0,0
Qadry Ismail,18.8,28,527,0,14,0,32,0,2
Kimble Anders,18.5,2,37,0,1,0,20,1,0
Charles Johnson,18.5,6,111,0,2,0,31,0,0
Lawrence Phillips,18.5,4,74,0,1,0,35,0,0
Ernie Mills,18.2,8,146,0,3,0,27,0,0
Clif Groce,18,1,18,0,0,0,18,0,0
Craig Heyward,18,1,18,0,0,0,18,0,0
Patrick Jeffers,18,1,18,0,0,0,18,0,0
J.J. McCleskey,18,1,18,0,0,0,18,0,0
Lamont Warren,18,3,54,0,0,0,18,0,0
Ron Carpenter,17.8,6,107,0,2,0,21,0,0
Amani Toomer,17.4,11,191,0,4,0,25,0,1
Ronnie Harmon,17.2,4,69,0,1,0,20,0,0
Joe Aska,17,1,17,0,0,0,17,0,0
Travis Jervey,17,1,17,0,0,0,17,0,0
Amp Lee,17,5,85,0,1,0,23,0,0
Kenny Shedd,17,3,51,0,0,0,19,0,0
Zach Thomas,17,1,17,0,0,0,17,0,0
Dorsey Levens,16.8,5,84,0,1,0,29,0,0
Byron Chamberlain,16.3,3,49,0,1,0,21,0,1
William Bell,16.2,8,130,0,4,0,27,0,0
Antonio Freeman,16,1,16,0,0,0,16,0,0
Chris Hetherington,16,1,16,0,0,0,16,0,0
Brian Kozlowski,16,1,16,0,0,0,16,0,0
Henry Lusk,16,1,16,0,0,0,16,0,0
Greg Manusky,16,2,32,0,0,0,17,0,1
Devon McDonald,16,1,16,0,0,0,16,0,0
Rodney Thomas,16,5,80,0,2,0,35,0,0
Mike Dulaney,15.8,4,63,0,1,0,20,0,0
Terrell Owens,15.7,3,47,0,0,0,18,0,0
Earnest Byner,15.2,4,61,0,0,0,19,0,0
Mercury Hayes,15,2,30,0,0,0,17,0,1
Aaron Laing,15,1,15,0,0,0,15,0,0
Eric Lynch,15,1,15,0,0,0,15,0,0
Alfred Pupunu,15,1,15,0,0,0,15,0,0
Ronald Moore,14.8,8,118,0,2,0,28,0,0
Mike Alstott,14,1,14,0,0,0,14,0,0
Daryl Hobbs,14,1,14,0,0,0,14,0,0
Cedric Smith,14,1,14,0,0,0,14,0,0
Keith Washington,14,1,14,0,0,0,14,0,0
Kevin Alexander,13.5,2,27,0,0,0,14,0,0
Derrick Alexander,13,1,13,0,0,0,13,0,0
Jamie Asher,13,1,13,0,0,0,13,0,0
Kyle Brady,13,2,26,0,0,0,16,1,0
John Gerak,13,1,13,0,0,0,13,0,0
Michael Roan,13,1,13,0,0,0,13,0,0
Reggie Brown,12.8,4,51,0,1,0,24,0,0
Mark Seay,12.8,4,51,0,1,0,22,0,0
Mike Archie,12,2,24,0,0,0,13,0,0
Mike Barber,12,1,12,0,0,0,12,0,0
Duane Bickett,12,1,12,0,0,0,12,0,0
Rich Griffith,12,2,24,0,0,0,16,0,0
Lorenzo Styles,12,1,12,0,0,0,12,0,0
Robert Wilson,12,1,12,0,0,0,12,0,0
Keith Crawford,11.8,4,47,0,0,0,19,0,0
Richard Brown,11.7,3,35,0,0,0,12,0,0
Myron Baker,11,1,11,0,0,0,11,0,0
Jeff Cothran,11,1,11,0,0,0,11,0,0
Omar Douglas,11,1,11,0,0,0,11,0,0
Todd McNair,10.5,2,21,0,0,0,16,0,0
Charlie Williams,10.5,2,21,0,1,0,21,0,1
Brian Saxton,10.3,3,31,0,0,0,12,0,0
Derek Brown,10,1,10,0,0,0,10,0,0
Derrick Deese,10,2,20,0,0,0,12,0,0
Rodney Harrison,10,1,10,0,0,0,10,0,0
Aubrey Matthews,10,1,10,0,0,0,10,0,0
Leonard Russell,10,1,10,0,0,0,10,0,0
Nate Singleton,10,1,10,0,0,0,10,0,0
Frank Wainright,10,1,10,0,0,0,10,0,0
Charles Way,9.5,2,19,0,0,0,10,0,0
Mike Gisler,9,1,9,0,0,0,9,0,0
Marco Battaglia,8,1,8,0,0,0,8,0,0
Christian Fauria,8,1,8,0,0,0,8,0,0
Darren Perry,8,1,8,0,0,0,8,0,0
Ron Rivers,8,1,8,0,0,0,8,0,0
Brady Smith,7,2,14,0,0,0,8,0,0
Aaron Glenn,6,1,6,0,0,0,6,0,0
Scott Greene,5,2,10,0,0,0,6,0,0
Troy Sadowski,3.5,2,7,0,0,0,7,0,0
Cris Carter,3,1,3,0,0,0,3,0,0
Greg DeLong,3,1,3,0,0,0,3,0,0
James McKeehan,3,2,6,0,0,0,6,0,0
Bam Morris,3,1,3,0,0,0,3,0,0
Frank Wycheck,2.5,2,5,0,0,0,5,0,0
Randal Hill,2,2,4,0,0,0,4,0,0
Sale Isaia,2,1,2,0,0,0,2,0,1
Pete Metzelaars,1,1,1,0,0,0,1,0,0
Barrett Brooks,0,1,0,0,0,0,0,0,0
Vernon Edwards,0,1,0,0,0,0,0,0,0
Jeff Gossett,0,1,0,0,0,0,0,0,0
