Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Chargers,21.6,55,1188,0,0,0,90,0,0
Falcons,21.2,58,1229,1,0,0,76T,0,0
Lions,20.9,70,1466,0,0,0,65,1,0
Saints,20.8,58,1205,0,0,0,58,0,0
Packers,20.7,63,1303,1,0,0,76T,0,0
Bengals,20.4,62,1266,0,0,0,43,1,0
Cowboys,20.4,54,1102,1,0,0,90T,0,0
Bills,20.4,51,1040,0,26,1,54,0,0
Rams,20.3,63,1279,1,0,0,99T,1,0
Seahawks,19.7,50,985,0,0,0,71,0,0
Raiders,19.3,64,1237,0,0,0,87,0,0
Giants,19.2,46,884,0,0,0,58,1,0
Steelers,19.1,50,956,0,0,0,49,2,0
Broncos,19.1,66,1260,0,0,0,75,0,0
Vikings,18.9,66,1249,0,0,0,64,1,0
Buccaneers,18.6,63,1175,0,0,0,55,0,0
Jets,18.5,61,1129,0,0,0,63,0,0
Oilers,18.3,47,861,0,0,0,64,0,0
Colts,18.3,65,1189,0,0,0,44,0,0
49ers,18.2,53,965,0,0,0,35,0,0
Dolphins,18.1,43,780,0,21,0,35,1,2
Patriots,18.1,77,1395,0,0,0,38,0,0
Browns,18,71,1276,2,0,0,101T,0,0
Redskins,18,62,1113,0,0,0,37,0,0
Eagles,17.9,54,965,0,0,0,44,1,0
Cardinals,17.8,60,1068,0,0,0,32,0,0
Chiefs,17,46,784,0,0,0,46,0,0
Bears,16.3,54,879,0,0,0,59,1,0
