Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Chiefs,34,91.9,37,97.4,0,0
Redskins,30,75,41,100,0,0
Bears,26,70.3,36,97.3,0,1
Broncos,25,73.5,34,94.4,0,0
Vikings,25,89.3,38,100,0,0
49ers,24,66.7,39,100,0,0
Packers,23,76.7,28,96.6,1,0
Jets,23,88.5,32,100,0,1
Seahawks,23,71.9,33,97.1,0,0
Buccaneers,23,85.2,27,100,0,0
Falcons,22,66.7,40,100,1,1
Oilers,21,65.6,46,93.9,0,0
Dolphins,21,84,37,100,0,0
Saints,21,77.8,29,100,0,0
Giants,21,75,38,97.4,0,1
Eagles,21,72.4,45,93.8,0,0
Chargers,21,75,34,94.4,0,2
Bills,20,69,50,96.2,0,0
Steelers,20,80,32,100,0,1
Cowboys,18,72,26,100,1,0
Bengals,17,77.3,41,93.2,0,1
Lions,17,65.4,46,100,0,0
Colts,17,70.8,32,97,0,0
Cardinals,17,63,31,100,0,0
Patriots,16,72.7,19,100,0,0
Rams,15,62.5,42,97.7,1,0
Raiders,15,75,40,95.2,0,0
Browns,14,70,24,88.9,2,0
