Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Broncos,39.2,2313,59,44.3,67,2612,14,13,8,7,9,22,159,0,1
Colts,37.9,2690,71,43.4,61,3084,24,5,6,3,15,42,334,0,1
Cardinals,37.4,2507,67,42.8,63,2865,16,5,5,5,11,41,258,0,0
Giants,37.3,2795,75,44.1,67,3306,24,7,10,11,6,41,291,0,0
Chargers,37.2,2271,61,40,59,2442,14,1,15,2,15,28,131,0,1
Saints,36.7,2568,70,42.7,65,2990,20,1,8,6,12,43,302,0,1
Oilers,36.6,1244,34,45,60,1530,7,2,4,5,0,23,186,1,0
Eagles,36.5,2628,72,42,60,3026,20,5,8,3,19,37,338,1,2
Falcons,36,2519,70,41.6,59,2913,15,5,10,4,12,39,314,0,0
Cowboys,35.6,2815,79,43.2,62,3413,20,9,11,8,8,43,438,1,0
Dolphins,35.6,2565,72,42,62,3022,20,5,9,3,15,40,397,0,0
Lions,35.4,2227,63,40.6,59,2560,10,10,9,5,10,29,233,0,0
Raiders,34.7,2082,60,38.6,57,2315,19,18,8,4,6,24,153,0,2
Steelers,34.6,2249,65,37.8,51,2454,18,6,6,5,32,16,105,0,1
Seahawks,34.4,2308,67,40.6,54,2722,18,2,7,8,21,29,254,2,0
Bears,34.4,2611,76,40.4,59,3073,22,10,14,7,6,39,322,0,2
Patriots,34.3,3089,90,41.7,69,3752,18,9,10,8,13,50,503,0,2
Redskins,34.1,1839,54,38.2,53,2064,23,0,13,1,10,30,205,0,1
Buccaneers,34,2450,72,40.3,62,2902,8,7,5,5,16,39,352,0,0
Bengals,34,2207,65,42.1,70,2739,12,0,9,9,11,36,352,1,0
Jets,33.9,2069,61,39.3,58,2398,18,5,10,3,8,35,269,0,0
Vikings,33.7,2626,78,42.3,61,3299,19,4,10,8,12,44,513,0,1
Bills,33.6,1950,58,39.3,55,2281,12,5,6,4,12,31,251,0,0
Packers,33.2,2125,64,38,59,2431,17,3,12,2,13,34,266,0,1
Chiefs,32.8,2661,81,38.7,58,3132,22,6,9,3,19,44,411,2,0
Browns,32.6,2414,74,38.9,65,2879,13,7,11,2,13,41,425,0,4
Rams,32.4,2203,68,39.2,58,2663,8,1,8,2,11,46,420,0,1
49ers,31.3,2162,69,36.8,56,2537,15,3,15,8,13,30,215,0,1
