Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Chiefs,34,37,91.9,2_2,5_5,22_21,7_6,0_0,0_0,48,0
Redskins,30,40,75,2_2,10_10,14_12,6_3,0_0,0_0,56,1
Bears,26,37,70.3,1_1,8_8,8_5,13_8,0_0,0_0,52,1
Broncos,25,34,73.5,0_0,14_13,6_4,13_8,0_0,0_0,49,2
Vikings,25,28,89.3,0_0,10_10,9_9,9_6,0_0,0_0,48,0
49ers,24,36,66.7,0_0,10_10,9_7,11_5,0_0,0_0,56,2
Packers,23,30,76.7,0_0,9_9,13_10,4_2,0_0,0_0,53,0
Jets,23,26,88.5,2_2,12_12,7_6,5_3,0_0,0_0,47,0
Seahawks,23,32,71.9,2_2,7_7,14_8,6_5,0_0,0_0,51,0
Buccaneers,23,27,85.2,0_0,7_7,13_10,5_4,0_0,0_0,54,1
Falcons,22,33,66.7,0_0,6_6,9_8,13_6,0_0,0_0,53,0
Oilers,21,32,65.6,0_0,8_7,10_7,11_7,0_0,0_0,49,0
Dolphins,21,25,84,2_2,8_7,7_6,5_4,0_0,0_0,53,0
Saints,21,27,77.8,0_0,5_5,6_5,12_8,0_0,0_0,52,1
Giants,21,28,75,2_2,8_8,4_4,12_7,0_0,0_0,49,0
Eagles,21,29,72.4,2_2,7_5,12_9,7_4,0_0,0_0,53,0
Chargers,21,28,75,3_3,9_8,8_6,7_4,0_0,0_0,43,0
Bills,20,29,69,0_0,11_9,8_5,10_6,0_0,0_0,48,1
Steelers,20,25,80,1_1,3_3,8_8,11_8,0_0,0_0,48,0
Cowboys,18,25,72,0_0,4_4,9_7,8_7,0_0,0_0,49,0
Bengals,17,22,77.3,0_0,6_6,6_5,9_6,0_0,0_0,46,0
Lions,17,26,65.4,0_0,9_9,9_5,5_3,0_0,0_0,47,0
Colts,17,24,70.8,1_1,6_5,8_7,4_2,0_0,0_0,55,0
Cardinals,17,27,63,1_1,4_4,10_7,6_3,0_0,0_0,50,2
Patriots,16,22,72.7,1_1,3_3,3_3,11_8,0_0,0_0,53,0
Rams,15,24,62.5,4_3,4_4,7_5,9_3,0_0,0_0,46,2
Raiders,15,20,75,1_1,5_5,3_2,9_6,0_0,0_0,50,1
Browns,14,20,70,0_0,5_5,8_5,7_4,0_0,0_0,47,1
