Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Dolphins,363,4557,12.6,29,58,8,80,218,60.1,8
Redskins,327,4339,13.3,33,62,17,60,203,62.1,4
Broncos,324,3941,12.2,24,46,8,86,196,60.5,8
Cardinals,322,4191,13,26,60,10,93,195,60.6,7
Packers,319,3609,11.3,13,39,6,56,175,54.9,8
Browns,313,3686,11.8,19,40,4,77,177,56.6,8
Rams,312,4002,12.8,31,47,12,69T,203,65.1,3
Eagles,309,3927,12.7,25,48,11,80,179,57.9,7
Cowboys,307,3727,12.1,21,51,6,61,176,57.3,2
Jets,299,3374,11.3,20,38,6,50,181,60.5,7
Vikings,294,4100,14,20,56,12,68,187,63.6,4
49ers,293,3675,12.5,21,34,11,96,167,57,6
Giants,290,3716,12.8,22,45,4,85,169,58.3,5
Saints,286,3256,11.4,21,36,2,40,178,62.2,6
Chiefs,282,3484,12.4,16,45,8,80,161,57.1,3
Bills,271,3411,12.6,15,49,4,66,161,59.4,5
Buccaneers,253,3608,14.3,16,62,4,59,173,68.4,4
Falcons,250,2914,11.7,13,40,8,68,136,54.4,7
Bears,248,3173,12.8,13,39,9,76,134,54,3
Seahawks,245,2979,12.2,22,36,7,75,139,56.7,4
Chargers,241,2628,10.9,11,27,6,59T,116,48.1,3
Steelers,226,3307,14.6,15,53,12,89,150,66.4,5
Bengals,225,3592,16,28,63,11,86,165,73.3,7
Colts,222,2865,12.9,15,36,9,58,130,58.6,2
Raiders,219,3503,16,21,61,19,85,145,66.2,4
Oilers,218,3166,14.5,21,50,9,57,148,67.9,2
Lions,213,2572,12.1,13,24,3,56T,141,66.2,2
Patriots,199,2333,11.7,12,26,3,80,112,56.3,2
