Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Patriots,588,2120,3.6,17,6,1,52T,127,21.6,10
Bengals,563,2710,4.8,27,12,2,56T,159,28.2,14
Oilers,558,2249,4,26,9,1,42T,141,25.3,21
Bears,555,2319,4.2,25,12,5,80,137,24.7,18
Colts,545,2249,4.1,23,9,3,44,153,28.1,13
Bills,528,2133,4,15,12,0,37T,137,26,14
49ers,527,2523,4.8,18,12,2,49,141,26.8,10
Seahawks,517,2086,4,14,9,1,44T,125,24.2,11
Jets,514,2132,4.2,19,2,0,28,118,23,16
Saints,512,2046,4,9,9,2,73T,108,21.1,10
Rams,507,2003,4,16,5,1,44,114,22.5,13
Vikings,501,1806,3.6,22,6,0,34T,112,22.4,11
Steelers,499,2228,4.5,17,12,1,64,120,24,22
Raiders,493,1852,3.8,15,9,0,32,116,23.5,19
Giants,493,1689,3.4,15,3,0,27,123,25,7
Cardinals,480,2027,4.2,15,9,2,47,122,25.4,18
Falcons,478,2016,4.2,11,10,2,62,106,22.2,9
Cowboys,469,1995,4.2,10,9,0,38,111,23.7,9
Broncos,464,1815,3.9,13,12,0,35,106,22.8,15
Eagles,464,1945,4.2,17,10,1,52,105,22.6,10
Buccaneers,452,1753,3.9,11,8,1,47,91,20.1,11
Chiefs,448,1713,3.8,8,3,1,48T,104,23.2,8
Browns,440,1575,3.6,10,7,1,65,93,21.1,16
Chargers,438,2041,4.7,11,13,0,37,115,26.3,15
Redskins,437,1543,3.5,8,8,0,29,88,20.1,13
Lions,391,1243,3.2,7,3,0,35T,63,16.1,15
Packers,385,1379,3.6,14,6,0,33T,78,20.3,16
Dolphins,335,1205,3.6,11,3,1,64,77,23,11
