Player,Comb,Asst,Solo,Sck
Ray Lewis,183,28,155,4
Winfred Tubbs,162,46,116,2.5
Hardy Nickerson,145,42,103,1
Derrick Brooks,144,43,101,1.5
Stephen Boyd,137,48,89,0
Jessie Armstead,136,34,102,3.5
John Mobley,136,39,97,4
Marvcus Patton,133,37,96,4.5
Rodney Harrison,132,36,96,4
Stanley Richard,131,28,103,0
Zach Thomas,128,50,78,0.5
Ted Johnson,127,32,95,4
Marvin Jones,126,40,86,3
Levon Kirkland,125,31,94,5
Chad Cota,124,32,92,1
Brock Marion,124,18,106,0
Victor Green,122,34,88,1
Robert Griffith,114,25,89,0
Bernardo Harris,114,49,65,1
John Lynch,111,36,75,0
Lawyer Milloy,111,31,80,0
Eugene Robinson,111,37,74,2.5
Sam Shade,110,17,93,4
Jesse Campbell,109,15,94,0
Greg Biekert,107,28,79,2.5
Eric Turner,107,19,88,0
Mark Fields,104,20,84,8
Reggie Tongue,103,20,83,2.5
James Trapp,103,21,82,0
Chad Brown,102,29,73,6.5
LeRoy Butler,102,32,70,3
Ronald McKinnon,102,38,64,1
Reggie Brown,101,39,62,2.5
Bryan Cox,101,33,68,5
Donnie Edwards,101,22,79,2.5
Brian Williams,100,38,62,1
Randall Godfrey,98,31,67,1
Marty Carter,97,26,71,1
Todd F. Collins,97,35,62,1.5
Sam Mills,97,26,71,0
Junior Seau,97,13,84,7
Jason Belser,96,27,69,1
Earl Holmes,96,29,67,4
Barron Wortham,96,36,60,0
Michael Bankston,95,28,67,2
Dexter Coakley,95,23,72,2.5
Ken Norton,95,25,70,1.5
Willie Clay,94,27,67,0
Mike Dumas,94,16,78,1
John Mangum,94,22,72,1
Fred Strickland,94,26,68,0.5
Sammy Knight,93,17,76,0
Travis Davis,92,22,70,2
Barry Minter,92,27,65,6
Jessie Tuggle,92,23,69,1.5
Dean Wells,92,18,74,1
Darryl Williams,92,25,67,0
Corey Fuller,91,9,82,0
Mike A. Jones,91,19,72,2
Jamir Miller,91,33,58,5.5
Todd Lyght,90,13,77,1
Keith Lyle,90,14,76,2
Derek M. Smith,90,29,61,2
Cornelius Bennett,89,23,66,7
Jason Sehorn,89,14,75,1.5
Corey Widmer,89,20,69,1.5
Tito Wooten,89,29,60,0
Micheal Barrow,88,21,67,8.5
Anthony Davis,88,20,68,3.5
Ed McDaniel,88,25,63,1.5
Shawn Wooden,88,26,62,0
Devin Bush,87,15,72,0
Greg Myers,87,16,71,0
Chris Slade,87,26,61,9
Jerome Woods,87,19,68,1
Dave Thomas,86,12,74,0
Joe Bowden,85,31,54,2.5
Terrell Buckley,84,18,66,0
Dewayne Washington,84,10,74,0
Jimmy Hitchcock,83,18,65,0
Mike Zordich,83,29,54,2
Ray Crockett,81,14,67,0
Brian Dawkins,81,14,67,0
Walt Harris,81,8,73,0
Henry Jones,81,17,64,2
Anthony Parker,81,23,58,1
James Willis,81,31,50,2
Mike Minter,80,16,64,3.5
William Thomas,80,22,58,5
Ted Washington,80,19,61,4
Darren Woodson,80,21,59,2
Blaine Bishop,79,13,66,1.5
Tyrone Braxton,79,18,61,0.5
Travis Hall,79,19,60,10.5
Russell Maryland,79,24,55,4.5
Bryan Schwartz,79,21,58,0.5
William White,79,16,63,0
