Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Ryan Longwell,89,5846,1599,11,12.4,78,20.5,0,0,0,0
Mike Hollis,88,5492,1730,10,11.4,77,22.5,2,0,0,0
Jason Elam,87,5727,1647,8,9.2,79,20.8,0,0,0,0
John Hall,85,5663,1134,29,34.1,54,21,2,0,0,0
Jason Hanson,83,5516,1259,21,25.3,60,21,2,0,0,0
Todd Peterson,82,5155,1779,2,2.4,77,23.1,0,0,3,1
Adam Vinatieri,81,5057,1651,4,4.9,75,22,2,0,0,1
Norm Johnson,80,4904,1540,4,5,73,21.1,2,1,1,1
Al Del Greco,78,4720,1528,4,5.1,71,21.5,2,1,1,0
Pete Stoyanovich,77,4729,1529,3,3.9,74,20.7,0,0,0,0
Tommy Thompson,77,4762,1608,2,2.6,74,21.7,0,0,1,0
Olindo Mare,76,4833,998,20,26.3,52,19.2,4,2,1,0
Greg Davis,75,4561,1502,2,2.7,68,22.1,3,1,2,1
Matt Stover,75,4867,1321,15,20,57,23.2,2,0,1,1
Chris Gardocki,74,4690,1533,8,10.8,62,24.7,4,1,1,1
Doug Pelfrey,74,4268,1406,2,2.7,67,21,2,0,3,0
Jeff Wilkins,73,4890,1262,17,23.3,54,23.4,1,0,1,1
Brad Daluiso,72,4859,1163,23,31.9,49,23.7,0,0,0,1
Toby Gowin,71,4606,1063,11,15.5,59,18,1,1,0,0
Cole Ford,68,4605,1124,19,27.9,48,23.4,0,0,1,0
Michael Husted,67,4588,949,24,35.8,43,22.1,0,0,0,1
Scott Blanton,65,4077,1361,2,3.1,61,22.3,0,0,2,0
John Kasay,65,4106,1276,7,10.8,55,23.2,2,0,1,1
Morten Andersen,63,4125,972,17,27,41,23.7,4,2,1,0
Steve Christie,63,3803,1385,5,7.9,55,25.2,3,0,1,3
Chris Boniol,62,3676,1369,1,1.6,58,23.6,3,0,0,0
Doug Brien,62,3992,1139,8,12.9,51,22.3,1,0,2,0
Joe Nedney,40,2695,538,17,42.5,22,24.4,2,0,0,1
Todd Sauerbrun,34,2073,514,7,20.6,23,22.4,4,0,2,0
Mitch Berger,32,2074,616,4,12.5,27,22.8,1,0,0,0
Jeff Jaeger,31,1817,723,0,0,29,24.9,2,0,2,0
Kevin Butler,25,1515,407,2,8,20,20.4,1,1,2,0
Eddie Murray,21,1259,400,1,4.8,20,20,0,0,0,0
John Carney,16,1065,375,2,12.5,14,26.8,0,0,0,0
Scott Bentley,14,959,266,1,7.1,13,20.5,0,0,0,0
Lonny Calicchio,9,546,170,1,11.1,7,24.3,0,0,1,0
Gary Anderson,8,481,138,0,0,8,17.2,0,0,0,0
Richie Cunningham,7,445,109,1,14.3,6,18.2,0,0,0,0
Louie Aguiar,6,365,143,0,0,6,23.8,0,0,0,0
Chris Jacke,6,316,154,0,0,6,25.7,0,0,0,0
Cary Blanchard,4,160,11,0,0,2,5.5,2,2,0,0
Tom Rouen,4,220,61,0,0,4,15.2,0,0,0,0
Dan Stryzinski,4,217,48,0,0,4,12,0,0,0,0
Tom Hutton,2,22,9,0,0,1,9,2,0,0,0
John Kidd,2,135,20,1,50,1,20,0,0,0,0
Darren Bennett,1,67,22,0,0,1,22,0,0,0,0
John Jett,1,47,10,0,0,1,10,0,0,0,0
Sean Landeta,1,44,8,0,0,1,8,0,0,0,0
Josh Miller,1,47,16,0,0,1,16,0,0,0,0
Greg Montgomery,1,50,2,0,0,1,2,0,0,0,0
