Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Richie Cunningham,34,37,91.9,1/1,16/16,9/9,7/10,0/0,0/0,53,1
Cary Blanchard,32,41,78,0/0,9/9,12/14,10/15,0/0,0/0,50,0
Mike Hollis,31,36,86.1,2/2,12/14,8/9,7/9,0/0,0/0,52,0
Gary Anderson,29,36,80.6,0/0,11/11,9/12,8/10,0/0,0/0,51,2
John Hall,28,41,68.3,1/1,10/11,11/17,2/6,0/0,0/0,55,1
Olindo Mare,28,36,77.8,2/2,14/15,8/10,3/6,0/0,0/0,50,1
Al Del Greco,27,35,77.1,2/2,6/6,10/11,7/14,0/0,0/0,52,0
Greg Davis,26,34,76.5,0/0,8/10,12/12,6/12,0/0,0/0,45,3
Jason Elam,26,36,72.2,0/0,10/11,10/12,3/8,0/0,0/0,53,2
Jason Hanson,26,29,89.7,0/0,10/10,8/9,5/5,0/0,0/0,55,0
Matt Stover,26,34,76.5,0/0,8/9,12/12,6/11,0/0,0/0,49,2
Pete Stoyanovich,26,27,96.3,0/0,9/9,3/3,12/13,0/0,0/0,54,0
Adam Vinatieri,25,29,86.2,0/0,11/11,7/9,6/8,0/0,0/0,52,0
Jeff Wilkins,25,37,67.6,0/0,8/9,8/12,7/14,0/0,0/0,52,1
Steve Christie,24,30,80,0/0,6/6,9/12,8/10,0/0,0/0,55,1
Ryan Longwell,24,30,80,4/4,7/8,10/13,2/4,0/0,0/0,50,2
Morten Andersen,23,27,85.2,1/1,10/10,7/7,3/6,0/0,0/0,55,0
Doug Brien,23,27,85.2,1/1,2/2,10/10,6/9,0/0,0/0,53,1
Chris Boniol,22,31,71,0/0,7/7,11/12,4/11,0/0,0/0,49,0
Brad Daluiso,22,32,68.8,1/1,6/6,6/7,8/14,0/0,0/0,52,0
Norm Johnson,22,25,88,1/1,6/6,8/8,6/8,0/0,0/0,52,1
John Kasay,22,26,84.6,1/1,6/7,8/8,4/4,0/0,0/0,54,1
Todd Peterson,22,28,78.6,0/0,9/9,7/10,5/7,0/0,0/0,52,1
Jeff Jaeger,21,26,80.8,0/0,8/9,8/10,4/6,0/0,0/0,52,1
Scott Blanton,16,24,66.7,2/2,4/4,5/6,4/8,0/0,0/0,50,0
Cole Ford,13,22,59.1,0/0,3/5,4/6,5/10,0/0,0/0,53,2
Michael Husted,13,17,76.5,0/0,5/5,2/3,5/6,0/0,0/0,54,0
Eddie Murray,12,17,70.6,0/0,7/7,1/3,4/6,0/0,0/0,49,0
Doug Pelfrey,12,16,75,0/0,4/4,3/3,5/7,0/0,0/0,46,1
Joe Nedney,11,17,64.7,1/1,3/3,4/4,3/7,0/0,0/0,45,0
Kevin Butler,8,12,66.7,0/0,4/4,2/4,2/4,0/0,0/0,49,0
John Carney,7,7,100,0/0,3/3,2/2,2/2,0/0,0/0,41,0
Scott Bentley,2,3,66.7,0/0,1/1,1/1,0/1,0/0,0/0,33,0
Toby Gowin,0,1,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Chris Jacke,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
