Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Terry Kirby,41.3,3,124,1,1,1,101,0,0
Rodney Harrison,40,1,40,1,1,1,40,0,0
Willie Clark,39,1,39,1,1,0,39,0,0
Will Moore,36,1,36,0,1,0,36,0,0
Brock Marion,31.1,10,311,0,8,3,49,0,0
Jerry Ellison,30.5,2,61,0,1,1,49,0,0
Corey Dillon,30.3,6,182,0,4,2,58,0,0
Roell Preston,30.1,7,211,0,6,2,43,0,0
Marc Edwards,30,1,30,0,1,0,30,0,0
Chris Canty,28.8,4,115,0,2,1,63,0,0
Michael Bates,27.3,47,1281,0,36,6,56,0,3
Derek Loville,27.2,5,136,0,3,1,61,0,1
Reggie Barlow,26.7,10,267,1,6,1,92,0,1
Leon Johnson,26.6,12,319,1,7,1,101,0,0
Aaron Glenn,26.5,28,741,1,22,3,96,0,1
Eric Guliford,26.2,43,1128,1,35,3,102,0,1
Thomas Lewis,26,14,364,0,10,1,84,0,0
Derrick Cullors,25.7,15,386,1,9,2,86,0,3
Tamarick Vanover,25.6,51,1308,1,37,3,94,0,2
David Dunn,25.6,19,487,0,13,1,85,0,1
Olanda Truitt,25.5,2,51,0,2,0,30,0,1
Dwight Stone,25.3,3,76,0,2,0,37,0,0
Antwuan Wyatt,25,2,50,0,2,0,30,0,0
Dave Meggett,24.7,33,816,0,24,2,61,0,0
Will Blackwell,24.7,32,791,1,22,3,97,0,2
Kevin R. Williams,24.7,59,1458,0,40,5,63,0,0
Byron Hanspard,24.7,40,987,2,21,3,99,0,1
Brian Kozlowski,24.5,2,49,0,2,0,26,0,0
Moe Williams,24.2,16,388,0,9,1,74,0,0
Duce Staley,24.2,47,1139,0,32,4,57,0,0
Tyronne Drakeford,24,1,24,0,1,0,24,0,0
Glyn Milburn,23.9,55,1315,0,37,5,69,0,2
Reidel Anthony,23.7,25,592,0,16,3,51,0,0
Mike Logan,23.6,10,236,0,7,0,39,0,0
Irving Spikes,23.5,24,565,0,12,2,48,0,3
Aaron Hayden,23.5,6,141,0,5,0,35,0,0
Vaughn Hebron,23.5,43,1009,0,28,2,46,0,1
Tyrone Hughes,23.4,43,1008,0,29,3,58,0,0
Bill Schroeder,23.4,24,562,0,13,2,40,0,1
Herschel Walker,23.3,50,1167,0,34,5,49,0,0
Brian Mitchell,23.3,47,1094,1,27,4,97,0,1
Eric Bieniemy,23.2,34,789,1,20,1,102,0,1
Joe Aska,23,2,46,0,2,0,26,0,0
Harold Green,23,1,23,0,1,0,23,0,0
Bam Morris,23,1,23,0,1,0,23,0,0
Leon Neal,23,1,23,0,1,0,23,0,0
