Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
John Hall,48,38,114,3,57,144,0,0,0,0,1,2,30,0,0
Olindo Mare,47,46.2,231,5,53,235,2,1,3,0,0,1,4,0,0
Mark Royals,45.9,34.9,3072,88,66,4038,21,3,8,13,14,50,706,1,0
Tom Tupa,45.8,36.6,2852,79,73,3569,24,7,8,14,11,38,437,0,1
Chris Gardocki,45.3,36.2,2423,67,72,3034,18,2,8,6,8,43,491,0,0
Matt Turk,45.1,39.6,3331,85,62,3788,32,12,10,11,18,33,237,0,1
Leo Araguz,45,39.1,3638,93,63,4189,28,1,8,6,26,52,431,0,0
Craig Hentrich,45,36,2703,75,65,3378,26,0,7,21,15,32,255,0,0
Tommy Barnhardt,45,39.1,1134,29,61,1304,12,3,2,3,7,14,110,0,0
Bryan Barker,44.9,38.8,2563,66,64,2964,27,7,15,8,7,29,241,0,0
Darren Bennett,44.6,38.2,3396,90,66,3972,26,8,14,8,20,39,416,0,1
Jeff Feagles,44.3,37.2,3387,92,62,4028,24,8,6,10,27,40,441,1,1
Tom Rouen,43.3,38,2283,60,57,2598,22,3,10,4,17,26,235,1,0
Brian Hansen,43.2,35.8,2539,72,58,3068,21,1,8,5,12,45,429,0,1
John Kidd,43.2,37,1924,52,58,2247,13,4,6,4,3,35,243,0,0
Mitch Berger,42.9,34.1,2488,73,65,3133,22,8,6,5,8,46,545,1,0
Mike Horan,42.9,36.3,1926,53,60,2272,10,5,4,4,7,33,266,0,0
Lee Johnson,42.8,35.8,2904,81,66,3471,27,18,10,8,10,35,407,2,0
Todd Sauerbrun,42.7,32.8,3112,95,67,4059,26,13,3,11,16,52,727,2,0
Greg Montgomery,42.6,36.6,3040,83,60,3540,24,2,15,2,11,53,460,0,0
Josh Miller,42.6,35,2238,64,72,2729,17,15,9,11,6,23,271,0,0
John Jett,42.6,36.4,3062,86,60,3576,24,1,9,4,19,51,434,1,2
Ken Walter,42.4,36.4,3096,85,62,3604,29,3,15,4,25,38,428,2,0
Kyle Richardson,42.3,31.7,602,21,54,804,2,2,1,3,1,12,142,0,2
Louie Aguiar,42.3,38.2,3130,82,65,3465,28,8,15,4,16,39,255,0,0
Sean Landeta,42.1,34.7,1876,55,74,2274,15,4,7,6,9,28,278,0,1
Tom Hutton,42.1,35,3045,88,61,3660,19,7,18,5,9,48,515,1,1
Chris Mohr,41.8,36.4,3278,91,59,3764,24,3,13,6,24,44,366,0,1
Rick Tuten,41.8,36.4,1746,48,65,2007,15,2,6,5,12,23,161,0,0
Will Brice,41.8,31.2,1281,42,61,1713,6,1,2,4,7,27,352,1,1
Toby Gowin,41.8,35.4,3047,86,72,3592,26,4,14,9,19,40,365,0,0
Reggie Roby,41.8,35.6,2599,73,59,3049,25,4,9,1,23,36,430,0,0
Brad Maynard,40.8,34.9,3873,112,57,4531,33,17,13,14,27,40,378,0,1
Tommy Thompson,40.8,35.1,2735,79,55,3182,22,8,13,7,9,41,307,0,1
Rohn Stark,40.6,26.8,537,20,52,813,7,3,4,2,1,10,236,2,0
Dan Stryzinski,39.3,36.7,3263,89,57,3498,20,5,9,9,45,21,55,0,0
Randall Cunningham,34.2,31.6,253,8,65,274,3,2,1,0,2,3,21,0,0
Al Del Greco,32,12,12,1,32,32,0,0,0,1,0,0,0,0,0
Pete Stoyanovich,24,24,24,1,24,24,1,0,1,0,0,0,0,0,0
Jeff Jaeger,18,18,18,1,18,18,0,1,0,0,0,0,0,0,0
