Player,FF,FR,FR TD
Lester Archambeau,5,3,0
Tony Brackens,5,1,0
Michael Sinclair,5,1,1
Mark Fields,4,2,1
Walt Harris,4,1,0
Robert Porcher,4,0,0
Derrick Rodgers,4,1,0
Chuck Smith,4,0,0
Derrick L. Alexander,3,0,0
Robert Bailey,3,0,0
Micheal Barrow,3,2,0
Blaine Bishop,3,2,0
Kevin Carter,3,2,0
Marco Coleman,3,0,0
Travis Davis,3,3,0
Hugh Douglas,3,0,0
Donnie Edwards,3,1,0
Ken Harvey,3,0,0
Ellis Johnson,3,2,0
James Jones,3,1,0
Greg Lloyd,3,3,0
Keith Lyle,3,0,0
Alex Molden,3,2,0
Marvcus Patton,3,1,0
Andre Royal,3,1,0
Dana Stubblefield,3,0,0
Derrick Thomas,3,0,0
Dan Williams,3,2,0
Lee Woodall,3,0,0
Darren Woodson,3,2,0
Trace Armstrong,2,3,0
Roy Barker,2,0,0
Jason Belser,2,0,0
Cornelius Bennett,2,1,0
Tony Bennett,2,0,0
Marc Boutte,2,0,0
Jeff Brady,2,3,1
Reggie Brown,2,0,0
Tedy Bruschi,2,2,0
Brentson Buckner,2,0,0
Duane Clemons,2,1,0
Todd F. Collins,2,0,0
Quentin Coryatt,2,0,0
Don Davey,2,0,0
Cris Dishman,2,1,0
Chris Doleman,2,1,0
Santana Dotson,2,0,0
Dixon Edwards,2,1,0
Doug Evans,2,0,0
James Farrior,2,0,0
Jim Flanigan,2,3,0
James Folston,2,1,0
Albert Fontenot,2,3,1
James Francis,2,1,0
Corey Fuller,2,0,0
Scott Galyon,2,0,0
Keith Hamilton,2,3,0
Phil Hansen,2,0,0
Nolan Harrison,2,0,0
Raymond Jackson,2,0,0
Darrius Johnson,2,1,1
Lance Johnstone,2,1,0
Marvin Jones,2,1,0
Terry Killens,2,0,0
Jeff Lageman,2,1,0
Carnell Lake,2,1,1
Lamar Lathon,2,0,0
Albert Lewis,2,0,0
Mo Lewis,2,1,0
Todd Lyght,2,2,0
Sam Madison,2,0,0
Lonnie Marts,2,1,0
Ed McDaniel,2,0,0
Ray Mickens,2,0,0
Lawyer Milloy,2,2,0
Chris Mims,2,0,0
John Mobley,2,1,0
Hardy Nickerson,2,1,0
Ken Norton,2,2,0
Chris Oldham,2,0,0
Bryce Paup,2,1,0
John Randle,2,2,0
Warren Sapp,2,1,0
Kurt Schulz,2,0,0
Jason Sehorn,2,1,0
Sam Shade,2,1,0
Clyde Simmons,2,0,0
Chris Slade,2,0,0
Anthony Smith,2,1,0
Kevin Smith,2,0,0
Jason Taylor,2,2,0
Bobby Taylor,2,0,0
John Thierry,2,0,0
Dave Thomas,2,1,0
Henry Thomas,2,1,0
Hollis Thomas,2,1,0
Zach Thomas,2,0,0
Tony Tolbert,2,0,0
Reggie Tongue,2,0,0
Winfred Tubbs,2,2,0
Mike Vrabel,2,1,0
Tyrone Williams,2,0,0
Willie Williams,2,0,0
Jerome Woods,2,2,0
Kevin Abrams,1,0,0
Sam Adams,1,0,0
Vashone Adams,1,0,0
Allen Aldridge,1,0,0
Brent Alexander,1,0,0
Elijah Alexander,1,0,0
Jessie Armstead,1,1,0
Ray Austin,1,0,0
Mike Barber,1,1,0
Tomur Barnes,1,0,0
Aaron Beasley,1,0,0
Wes Bender,1,0,0
Robert Blackmon,1,1,1
Peter Boulware,1,0,0
Joe Bowden,1,1,0
Tim Bowens,1,1,1
Stephen Boyd,1,1,1
Ronnie Bradford,1,0,0
Chad Bratzke,1,2,0
Tyrone Braxton,1,3,0
Zack Bronson,1,1,0
Derrick Brooks,1,1,0
Chad Brown,1,4,2
Cornell Brown,1,0,0
Corwin Brown,1,0,0
Terrell Buckley,1,2,1
James Burgess,1,0,0
Rob Burnett,1,1,0
Shane Burton,1,1,0
Devin Bush,1,1,0
LeRoy Butler,1,0,0
Glenn Cadrez,1,0,0
Mike Caldwell,1,0,0
Chris Calloway,1,0,0
Chris Canty,1,0,0
Shante Carver,1,0,0
Willie Clark,1,0,0
Willie Clay,1,2,0
Dexter Coakley,1,1,1
Darion Conner,1,0,0
Bryan Cox,1,1,0
Ron Cox,1,0,0
Vernon Crawford,1,0,0
Ray Crockett,1,0,0
Phillip Daniels,1,0,0
Anthony Davis,1,1,0
Wendell Davis,1,1,0
Sean Dawkins,1,0,0
Richard Dent,1,0,0
Gerald Dixon,1,0,0
DeWayne Dotson,1,0,0
Jamal Duff,1,0,0
Mike Dumas,1,1,0
Troy Dumas,1,0,0
Quinn Early,1,0,0
Bobby Engram,1,0,0
Steve Everitt,1,0,0
D'Marco Farr,1,2,0
Jason Fisk,1,1,0
Lee Flowers,1,0,0
Dan Footman,1,2,0
Randy Fuller,1,0,0
Daryl Gardener,1,1,0
Chris Gedney,1,0,0
Eddie George,1,0,0
La'Roi Glover,1,1,0
Jeff Gooch,1,0,0
Darrien Gordon,1,1,0
Dwayne Gordon,1,0,0
Billy Granville,1,0,0
Victor Green,1,0,0
Kevin Greene,1,2,1
Robert Griffith,1,0,0
Mike Halapin,1,0,0
Dana Hall,1,0,0
Rhett Hall,1,0,0
Conrad Hamilton,1,0,0
James Hamilton,1,0,0
Robert Harris,1,2,0
Ronnie Harris,1,0,0
Rodney Harrison,1,2,0
Richard Harvey,1,1,0
Tim Hauck,1,1,0
Kim Herring,1,1,0
Chris Hewitt,1,1,0
Randy Hilliard,1,0,0
Jimmy Hitchcock,1,0,0
John Holecek,1,0,0
Rob Holmberg,1,1,0
Kenny Holmes,1,1,0
Bernard Holsey,1,0,0
Chris Hudson,1,2,1
Steve Israel,1,0,0
Steve Jackson,1,0,0
Tyoka Jackson,1,0,0
George Jamison,1,1,0
Greg Jeffries,1,0,0
James Jenkins,1,0,0
Kerry Jenkins,1,0,0
Joe Johnson,1,1,0
Norm Johnson,1,0,0
Ted Johnson,1,0,0
Cedric Jones,1,0,0
Freddie Jones,1,0,0
Greg Jones,1,0,0
Lenoy Jones,1,0,0
Rondell Jones,1,0,0
Rob Kelly,1,0,0
Brian Kinchen,1,0,0
Levon Kirkland,1,1,0
Erik Kramer,1,0,0
Dan Land,1,0,0
Tyrone Legette,1,0,0
Darryll Lewis,1,2,0
Ray Lewis,1,0,0
Antonio London,1,0,0
John Lynch,1,2,0
Van Malone,1,0,0
Mike Mamula,1,0,0
Greg Manusky,1,0,0
Anthony Marshall,1,1,0
Wayne Martin,1,1,0
Russell Maryland,1,0,0
Ed McCaffrey,1,1,0
Fred McCrary,1,0,0
Michael McCrary,1,2,0
