Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Colts,11.2,36,402,0,0,0,36,9,0
Bears,11.1,36,399,1,0,0,95T,13,0
Giants,10.9,43,467,1,0,0,68T,12,0
Jets,10.6,30,319,1,0,0,98T,11,0
Lions,10.3,35,361,0,0,0,39,7,0
Steelers,10.2,39,398,1,0,0,52T,8,0
Rams,9.9,35,346,0,0,0,26,7,0
Packers,9.6,32,308,0,0,0,25,9,0
Chargers,9.6,35,336,2,0,0,63,16,0
Seahawks,9.4,36,337,0,0,0,39,16,0
Saints,8.9,45,400,0,0,0,33,9,0
Raiders,8.7,34,295,0,0,0,39,8,0
Cardinals,8.6,40,342,0,0,0,20,7,0
Bengals,8.5,30,255,1,0,0,66T,14,0
Redskins,8.1,48,388,0,0,0,32,17,0
Buccaneers,8,23,184,0,0,0,16,15,0
Falcons,8,35,279,1,0,0,79T,17,0
Eagles,7.9,40,315,0,0,0,30,11,0
Broncos,7.8,33,256,0,0,0,32,12,0
49ers,7.4,48,356,0,0,0,30,16,0
Bills,7.1,25,177,0,1,0,25,9,0
Chiefs,6.9,37,254,0,0,0,37,6,0
Vikings,6.8,33,225,0,0,0,30,24,0
Browns,6.7,31,209,0,0,0,25,15,0
Cowboys,6.4,39,250,0,0,0,20,11,0
Dolphins,6,39,233,0,2,0,35,18,6
Oilers,5.7,30,172,0,0,0,26,21,0
Patriots,4.6,29,134,0,0,0,17,10,0
