Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Bills,87,4723,12,13.8,73,15.5,0,0,1,0
Oilers,86,0,8,9.3,0,0,0,0,6,0
Chiefs,86,0,4,4.6,0,0,0,0,1,0
Eagles,86,0,5,5.8,0,0,0,0,4,0
Redskins,85,0,21,24.7,0,0,0,0,4,0
Lions,81,0,4,4.9,0,0,0,0,5,0
Bears,79,0,5,6.3,0,0,0,0,1,0
Falcons,78,0,24,30.8,0,0,0,0,1,0
Bengals,78,0,33,42.3,0,0,0,0,2,0
Vikings,78,0,10,12.8,0,0,0,0,2,0
49ers,77,0,9,11.7,0,0,0,0,1,0
Broncos,76,0,6,7.9,0,0,0,0,0,0
Dolphins,75,4656,20,26.7,53,20.6,0,0,1,0
Giants,75,0,8,10.7,0,0,0,0,1,0
Chargers,73,0,10,13.7,0,0,0,0,1,0
Rams,72,0,3,4.2,0,0,0,0,1,0
Jets,72,0,7,9.7,0,0,0,0,1,0
Steelers,71,0,13,18.3,0,0,0,0,2,0
Raiders,70,0,14,20,0,0,0,0,7,0
Seahawks,70,0,18,25.7,0,0,0,0,0,0
Packers,69,0,12,17.4,0,0,0,0,0,0
Colts,68,0,14,20.6,0,0,0,0,3,0
Saints,67,0,30,44.8,0,0,0,0,1,0
Buccaneers,66,0,20,30.3,0,0,0,0,0,0
Cardinals,64,0,2,3.1,0,0,0,0,3,0
Cowboys,61,0,0,0,0,0,0,0,4,0
Browns,55,0,7,12.7,0,0,0,0,1,0
Patriots,52,0,11,21.2,0,0,0,0,2,0
