Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Redskins,12.1,26,315,1,4,2,59T,15,2
Vikings,11.8,35,414,1,6,2,74T,14,1
Broncos,11.6,31,358,0,5,1,44,18,1
Cowboys,11.1,23,255,0,3,1,43,17,1
Chargers,10.9,31,338,1,6,1,88T,15,8
Rams,10.7,55,587,0,8,2,61,7,4
Panthers,10.2,49,500,1,3,1,62T,23,0
Browns,10.2,25,255,1,1,1,69T,16,1
Bills,10.1,47,476,0,5,2,44,11,2
Raiders,10.1,37,374,0,3,0,38,9,0
Eagles,10.1,29,293,0,5,0,38,16,2
Buccaneers,10.1,29,293,0,3,1,45,10,0
49ers,10.1,27,272,1,4,1,78,17,3
Steelers,9.9,48,474,1,4,3,72T,8,1
Falcons,9.8,39,383,1,5,1,66T,14,4
Oilers,9.7,35,339,0,1,0,20,21,3
Chiefs,9.7,58,561,1,5,1,86T,7,1
Seahawks,9.6,40,384,1,3,1,89T,13,0
Saints,9.2,29,268,0,3,1,74,23,2
Patriots,8.5,45,383,0,3,0,23,17,2
Jets,8.5,38,323,0,3,0,22T,17,3
Packers,8.4,61,515,0,4,0,26,7,9
Jaguars,8.4,29,243,0,3,1,40,8,3
Lions,7.9,24,189,0,1,0,28,17,2
Cardinals,7.5,23,172,0,0,0,16,11,1
Bears,7.5,24,179,0,1,0,39,14,3
Giants,7,31,218,0,1,0,21,10,3
Dolphins,6.8,24,163,0,1,0,24,12,2
Colts,6.6,29,192,0,1,0,32,12,3
Bengals,4.9,21,103,0,1,0,21,13,1
