Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Redskins,23.9,69,1646,0,38,5,59,0,1
Chiefs,23.8,55,1306,2,32,4,99T,0,0
Broncos,23.2,60,1392,0,33,4,86,0,0
Saints,23.2,73,1690,0,45,5,83,0,0
Dolphins,22.7,59,1338,0,40,2,55,1,0
Patriots,22.6,75,1691,0,44,4,62,0,2
Seahawks,22.5,72,1620,0,46,5,70,0,6
Vikings,22.4,72,1612,0,39,4,71,0,3
Bengals,22.4,80,1788,0,46,4,55,0,2
Steelers,22.2,69,1530,0,39,6,57,0,1
Rams,22.2,73,1618,0,46,3,50,0,3
Cowboys,22,58,1276,0,38,4,46,0,3
Raiders,21.7,64,1390,1,31,3,84T,0,3
Falcons,21.5,70,1506,0,37,2,47,0,1
Chargers,21.5,70,1502,2,32,6,92T,0,5
Panthers,21.2,55,1163,0,34,1,40,0,0
Colts,21.1,63,1332,1,34,2,95T,0,1
Packers,21,61,1282,0,35,1,45,0,1
Jets,21,77,1613,0,35,6,58T,0,7
Eagles,20.9,71,1487,1,39,3,86T,0,0
Cardinals,20.8,73,1519,0,37,2,70T,0,2
Jaguars,20.7,74,1532,1,40,2,89T,0,4
Giants,20.7,70,1448,1,33,3,91T,0,1
Bears,20.6,71,1459,0,37,4,52,0,1
Lions,20.4,67,1367,0,36,2,51,0,2
49ers,20.4,58,1183,0,30,1,46T,0,0
Oilers,20,64,1277,0,34,3,54,1,2
Browns,19.7,74,1455,0,38,1,42,0,2
Buccaneers,19,76,1443,0,30,2,44,0,1
Bills,18.6,70,1302,0,32,2,42,0,3
