Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Bears,391,1572,4,10,91,23.3
Giants,388,1459,3.8,9,90,23.2
Eagles,337,1169,3.5,9,59,17.5
Redskins,382,1587,4.2,8,77,20.2
Chiefs,373,1640,4.4,12,85,22.8
Raiders,439,1716,3.9,4,95,21.6
Bengals,442,2085,4.7,15,117,26.5
Chargers,424,1515,3.6,10,92,21.7
Bills,483,1808,3.7,13,105,21.7
Jets,423,2018,4.8,15,112,26.5
Saints,410,1559,3.8,8,91,22.2
Broncos,456,1963,4.3,16,110,24.1
Seahawks,413,1605,3.9,7,86,20.8
Steelers,446,1615,3.6,13,102,22.9
Vikings,503,2074,4.1,12,107,21.3
49ers,353,1258,3.6,7,77,21.8
Cardinals,521,2318,4.4,20,140,26.9
Rams,418,1649,3.9,17,93,22.2
Falcons,413,1357,3.3,11,79,19.1
Dolphins,461,1831,4,11,110,23.9
Buccaneers,496,2223,4.5,20,130,26.2
Cowboys,482,1976,4.1,18,109,22.6
Patriots,565,2676,4.7,29,151,26.7
Lions,532,2388,4.5,22,142,26.7
Packers,475,2059,4.3,16,113,23.8
Browns,511,2105,4.1,21,117,22.9
Colts,513,2212,4.3,12,130,25.3
Oilers,392,1575,4,12,89,22.7
