Team,INT,INT TD,INT Yds,Lng
Bears,31,1,268,45T
Buccaneers,25,3,487,65T
Steelers,24,1,385,59
Giants,23,2,116,40T
Vikings,22,2,358,73T
Oilers,21,1,295,47
Redskins,21,2,271,61T
Chiefs,20,1,250,40T
Dolphins,19,2,288,42
Eagles,19,3,271,42
Chargers,19,0,188,67
Bills,18,2,151,60
Jets,18,0,205,39
Falcons,17,3,237,82
Lions,17,1,273,48
49ers,17,0,171,28
Packers,16,1,154,32T
Cardinals,16,2,274,47
Bengals,15,1,146,29T
Patriots,14,0,194,73
Browns,13,1,212,64T
Raiders,13,1,102,31T
Rams,12,1,105,44T
Seahawks,12,0,182,47
Cowboys,11,1,126,64T
Broncos,10,1,190,49T
Colts,9,1,173,40T
Saints,8,1,158,50T
