Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Dolphins,39,46,84.8,1_1,9_9,17_17,14_9,0_0,0_0,54,1
Colts,34,38,89.5,2_2,10_10,13_11,11_10,0_0,0_0,53,2
Seahawks,34,40,85,1_1,10_10,11_8,16_14,0_0,0_0,51,0
Jaguars,31,38,81.6,0_0,13_12,9_8,15_10,0_0,0_0,50,1
Chargers,31,36,86.1,2_2,13_13,8_6,12_9,0_0,0_0,50,1
Broncos,29,36,80.6,1_1,8_8,8_7,11_8,0_0,0_0,55,1
Ravens,28,33,84.8,4_4,9_9,8_6,7_7,0_0,0_0,50,1
Jets,27,33,81.8,0_0,4_3,17_17,12_7,0_0,0_0,48,0
Buccaneers,27,32,84.4,0_0,8_8,12_10,8_6,0_0,0_0,53,2
Lions,26,32,81.2,0_0,8_8,4_4,12_10,0_0,0_0,52,0
Patriots,26,33,78.8,1_1,14_14,7_5,9_5,0_0,0_0,51,0
Bills,25,34,73.5,2_2,10_10,10_7,9_3,0_0,0_0,52,0
Panthers,25,28,89.3,1_1,10_10,6_6,7_6,0_0,0_0,52,0
Packers,25,30,83.3,0_0,9_8,9_8,10_8,0_0,0_0,50,3
Raiders,25,38,65.8,2_2,5_5,13_9,13_8,0_0,0_0,52,0
Giants,25,30,83.3,0_0,11_11,7_5,12_9,0_0,0_0,48,0
Steelers,25,29,86.2,2_2,5_5,10_9,11_8,0_0,0_0,51,1
Saints,24,29,82.8,0_0,11_9,7_6,9_7,0_0,0_0,52,0
Redskins,22,32,68.8,0_0,9_7,7_6,7_6,0_0,0_0,51,2
Titans,21,25,84,1_1,8_8,9_7,6_4,0_0,0_0,50,0
Chiefs,21,28,75,1_1,7_7,6_5,13_7,0_0,0_0,51,0
Eagles,21,31,67.7,0_0,9_8,8_5,9_7,0_0,0_0,53,1
49ers,21,23,91.3,1_1,7_7,8_7,6_5,0_0,0_0,52,1
Rams,20,28,71.4,1_1,5_5,7_6,11_7,0_0,0_0,51,0
Bears,19,34,55.9,0_0,9_9,10_4,12_5,0_0,0_0,52,0
Cowboys,19,31,61.3,0_0,9_7,10_8,11_4,0_0,0_0,47,0
Vikings,19,30,63.3,0_0,8_6,11_9,9_4,0_0,0_0,44,3
Cardinals,19,27,70.4,0_0,5_5,12_10,7_4,0_0,0_0,49,1
Bengals,18,27,66.7,1_1,11_9,12_7,2_0,0_0,0_0,50,2
Falcons,15,21,71.4,1_1,5_5,8_5,6_4,0_0,0_0,49,1
Browns,8,12,66.7,0_0,2_2,5_3,5_3,0_0,0_0,49,0
