Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Rams,25.1,54,1354,2,31,7,101T,2,1
Patriots,24.2,62,1498,0,39,5,95,0,1
Bengals,24,84,2020,1,54,8,99T,0,8
Dolphins,23.8,72,1713,0,46,4,93,0,2
Cowboys,23.7,58,1372,0,40,3,79,0,3
Jets,23.4,67,1571,0,42,6,81,0,6
Eagles,23.4,69,1612,1,39,5,89T,0,3
Vikings,22.8,70,1597,2,41,5,85,0,2
Seahawks,22.8,68,1547,0,38,7,61,0,2
Panthers,22.4,66,1475,2,30,6,100T,0,1
Broncos,22.2,63,1398,0,44,3,71,0,1
Bears,21.9,68,1491,0,44,2,93,0,2
Cardinals,21.9,64,1403,0,37,3,68,0,3
Giants,21.8,69,1502,0,41,2,45,0,1
Colts,20.8,67,1397,1,34,1,97T,0,0
Saints,20.8,79,1639,0,48,2,55,0,2
49ers,20.5,77,1579,0,37,3,75,0,4
Redskins,20.5,63,1290,1,27,3,95T,0,2
Ravens,20.3,54,1098,0,21,3,66,1,1
Buccaneers,20.3,55,1116,0,29,1,55,0,0
Lions,20.1,72,1445,0,32,2,91,0,2
Bills,19.6,51,1001,1,21,1,62T,0,0
Steelers,19.5,57,1110,0,30,2,44,0,0
Browns,19.4,89,1725,0,48,1,43,0,5
Jaguars,19.2,46,881,1,17,2,98T,2,2
Falcons,19,76,1445,0,37,1,40,0,2
Chargers,19,69,1312,0,37,0,37,0,1
Packers,18.8,66,1241,1,26,2,88T,0,2
Chiefs,18.8,63,1182,0,37,0,29,0,0
Raiders,18.7,61,1140,0,27,2,48,0,4
Titans,18.6,56,1042,0,25,1,41,0,0
