Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Dolphins,39,84.8,27,100,0,0
Colts,34,89.5,43,100,1,1
Seahawks,34,85,32,100,0,1
Jaguars,31,81.6,37,100,1,1
Chargers,31,86.1,22,95.6,0,0
Broncos,29,80.6,29,100,0,1
Ravens,28,84.8,32,100,0,0
Jets,27,81.8,27,93.1,0,0
Buccaneers,27,84.4,25,100,0,0
Lions,26,81.2,28,96.6,0,1
Patriots,26,78.8,29,96.7,0,0
Bills,25,73.5,33,100,1,0
Panthers,25,89.3,46,97.9,2,0
Packers,25,83.3,38,100,1,0
Raiders,25,65.8,43,100,0,0
Giants,25,83.3,28,100,0,1
Steelers,25,86.2,30,96.8,0,0
Saints,24,82.8,20,95.2,0,0
Redskins,22,68.8,49,98,1,0
Titans,21,84,43,100,0,1
Chiefs,21,75,45,100,0,2
Eagles,21,67.7,27,100,1,0
49ers,21,91.3,30,96.8,0,0
Rams,20,71.4,64,100,2,1
Bears,19,55.9,27,96.4,0,0
Cowboys,19,61.3,41,100,0,1
Vikings,19,63.3,46,100,2,1
Cardinals,19,70.4,26,100,0,0
Bengals,18,66.7,27,100,1,2
Falcons,15,71.4,34,100,0,2
Browns,8,66.7,23,95.8,0,0
