Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Seahawks,14,30,419,1,5,2,94T,24,3
Chiefs,12.2,58,706,2,8,2,84T,19,4
Bengals,11.7,35,410,2,4,2,86T,10,3
Falcons,11.6,32,372,2,5,2,70,17,1
Giants,11.6,45,520,1,6,1,85T,13,3
Bears,11.5,30,346,0,4,1,54,19,1
Cowboys,10.7,41,440,1,4,3,76,9,0
Cardinals,10.4,47,489,0,5,1,43,13,4
Patriots,10.3,48,495,0,6,1,52,17,1
Jaguars,10.3,45,462,1,6,1,74T,21,1
Bills,10.2,34,347,0,3,0,27,17,0
Lions,10.2,38,386,1,3,1,68T,16,1
Dolphins,9.8,44,432,0,7,1,45,13,3
Rams,9.6,52,498,1,7,1,84T,25,5
Colts,9.5,41,388,1,3,0,39T,18,2
Raiders,9.4,42,397,0,5,1,78,14,3
Steelers,9,42,377,0,3,1,48,14,3
Titans,9,40,358,1,3,1,65T,17,0
Eagles,8.6,29,250,0,3,0,39,18,4
Chargers,8.5,34,290,0,2,0,33,25,3
Vikings,8.4,32,269,1,2,1,64T,13,3
Buccaneers,8.3,43,357,0,3,0,31,26,3
Redskins,8.1,41,332,0,2,0,33,14,1
Ravens,7.7,59,452,0,5,0,33,20,2
Broncos,7.6,54,409,1,5,1,81T,10,5
Jets,7.4,43,319,0,2,0,23,14,2
Saints,7.4,35,258,0,0,0,18,23,5
Packers,7.3,29,212,0,2,1,45,13,2
Panthers,6.9,35,241,0,2,0,30,18,2
Browns,6.5,25,162,0,0,0,15,13,3
49ers,4,26,104,0,1,0,32,13,2
