Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Oilers,238,2768,11.6,12,0,0,87,126,52.9,0
Giants,230,2892,12.6,19,0,0,59,149,64.8,0
49ers,226,2990,13.2,25,0,0,79,125,55.3,0
Colts,219,3087,14.1,23,0,0,55,148,67.6,0
Rams,218,2658,12.2,17,0,0,71,120,55,0
Eagles,218,2651,12.2,16,0,0,79,126,57.8,0
Bills,213,2916,13.7,13,0,0,48T,120,56.3,0
Saints,213,2690,12.6,11,0,0,49,112,52.6,0
Bears,210,2431,11.6,21,0,0,69,104,49.5,0
Raiders,210,3029,14.4,28,0,0,60,139,66.2,0
Redskins,203,2357,11.6,23,0,0,66,100,49.3,0
Falcons,197,2262,11.5,18,0,0,51T,110,55.8,0
Jets,193,2592,13.4,14,0,0,72,122,63.2,0
Chargers,192,2936,15.3,24,0,0,80,119,62,0
Browns,190,2752,14.5,17,0,0,78,134,70.5,0
Broncos,183,2358,12.9,11,0,0,74T,112,61.2,0
Cardinals,178,2689,15.1,16,0,0,79,104,58.4,0
Packers,177,2196,12.4,11,0,0,89,110,62.2,0
Patriots,176,1975,11.2,7,0,0,48T,98,55.7,0
Vikings,173,2378,13.8,12,0,0,72,111,64.2,0
Bengals,172,2097,12.2,12,0,0,56,97,56.4,0
Lions,167,2121,12.7,19,0,0,58,107,64.1,0
Dolphins,159,2284,14.4,15,0,0,54,100,62.9,0
Chiefs,154,2038,13.2,13,0,0,61,86,55.8,0
Steelers,150,2312,15.4,12,0,0,87,97,64.7,0
Cowboys,149,2445,16.4,18,0,0,89,95,63.8,0
