Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Stedman Bailey,90,1,90,1,1,1,90,0,0
Micah Hyde,15.8,14,221,2,3,2,75,3,0
Marcus Thigpen,13.8,16,220,1,2,2,75,13,2
Frankie Hammond,13.3,15,200,0,5,1,47,4,0
Devin Hester,13.3,18,240,1,4,2,68,11,1
Darren Sproles,13,39,506,2,6,3,82,16,2
Jeremy Maclin,12.5,2,25,0,0,0,18,4,0
Adam Jones,12,22,265,0,6,2,47,1,1
Julian Edelman,12,25,299,1,4,2,84,6,1
De'Anthony Thomas,11.9,34,405,1,7,2,81,0,0
Solomon Patton,11.2,10,112,0,2,0,33,5,1
Tavon Austin,11.2,35,391,1,6,2,78,23,5
Emmanuel Sanders,11,1,11,0,0,0,11,1,0
Marcus Sherels,11,27,297,0,4,0,35,26,0
Robert Woods,11,1,11,0,0,0,11,0,0
Ted Ginn,10.6,26,277,1,2,2,71,24,2
Antonio Brown,10.6,30,319,1,3,1,71,16,1
Brandon Tate,9.7,18,174,0,2,1,49,14,1
Corey Brown,9.6,16,153,1,2,1,79,6,3
Charles Woodson,9.3,3,28,0,1,0,23,0,0
Dwayne Harris,9.2,30,275,0,3,0,38,13,4
Jacoby Jones,9.2,30,275,0,5,1,45,17,3
Eddie Royal,9.1,11,100,0,1,1,58,6,0
Keenan Allen,9,11,99,0,1,0,29,11,1
Jeremy Ross,8.9,32,284,0,3,0,28,37,2
Leodis McKelvin,8.7,21,183,0,3,0,24,8,1
Michael Campanaro,8.5,2,17,0,0,0,9,1,0
Trindon Holliday,8.5,2,17,0,0,0,17,1,1
Travis Benjamin,8.5,15,127,0,2,0,37,8,2
Jalen Saunders,8.3,15,125,0,2,0,32,10,2
Danny Amendola,8.2,16,132,0,2,0,39,5,0
Bruce Ellington,8.2,23,188,0,3,0,23,12,1
Jarvis Landry,8.2,25,204,0,3,0,32,19,4
Odell Beckham Jr.,8.1,21,171,0,3,0,25,11,1
Randall Cobb,8,14,112,0,2,0,24,9,1
Jeremy Kerley,8,25,199,0,2,1,41,13,1
Bobby Rainey,7.9,7,55,0,0,0,14,3,0
Bryan Walters,7.7,27,207,0,3,0,21,23,0
T.J. Carrie,7.5,26,195,0,2,0,27,11,1
Chris Williams,7.5,4,30,0,0,0,13,2,0
Andre Roberts,7.4,28,208,0,3,0,37,25,2
Mike Brown,7.4,5,37,0,0,0,13,5,0
Isaiah Burse,7.3,29,211,0,2,0,22,24,3
Griff Whalen,7.2,26,187,0,1,0,22,17,2
Ace Sanders,7.1,32,227,0,1,0,23,10,2
Dexter McCluster,7,22,155,0,2,1,48,14,1
Doug Baldwin,7,6,42,0,1,0,38,4,0
Wes Welker,6.7,11,74,0,0,0,19,3,0
Leon Washington,6.7,7,47,0,0,0,10,4,1
Preston Parker,6.6,8,53,0,0,0,18,6,0
Josh Cribbs,6.6,19,125,0,0,0,18,8,1
Jim Leonhard,6.5,4,26,0,0,0,12,15,1
Keshawn Martin,6.2,25,154,0,1,0,21,24,0
Brenton Bersin,6.1,14,86,0,0,0,18,20,2
Damaris Johnson,6,9,54,0,0,0,12,4,1
Santonio Holmes,5.6,9,50,0,1,0,22,5,1
Michael Griffin,5,1,5,0,0,0,5,0,0
Denarius Moore,4.8,8,38,0,1,0,23,6,1
Marc Mariani,4.1,7,29,0,0,0,16,5,0
Chris Davis,4,1,4,0,0,0,4,1,0
Walt Powell,4,12,48,0,0,0,15,2,1
Jordan Poyer,4,7,28,0,0,0,8,2,1
Brandin Cooks,3.5,10,35,0,0,0,15,15,1
Perrish Cox,3.5,10,35,0,0,0,9,1,1
Dri Archer,2,1,2,0,0,0,2,0,0
Chris Cook,2,1,2,0,0,0,2,0,0
Kassim Osgood,2,1,2,0,0,0,2,0,0
Fred Jackson,1.7,3,5,0,0,0,5,5,2
Earl Thomas,1.5,2,3,0,0,0,3,0,1
Austin Pettis,1,1,1,0,0,0,1,0,0
Ha Ha Clinton-Dix,0,1,0,0,0,0,0,0,0
Marcus Cooper,0,1,0,0,0,0,0,0,1
DeSean Jackson,0,1,0,0,0,0,0,2,0
Sherrick McManis,0,1,0,0,0,0,0,0,0
Richard Sherman,0,1,0,0,0,0,0,1,0
K'Waun Williams,0,1,0,0,0,0,0,0,0
Vince Williams,0,1,0,0,0,0,0,0,0
