Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Mason Crosby,102,6323,1380,41,40.2,56,24.6,3,0,2,1
Stephen Gostkowski,99,6362,955,53,53.5,45,21.2,0,0,1,0
Patrick McAfee,99,6332,587,70,70.7,26,22.6,3,3,0,0
Dan Bailey,98,6183,905,52,53.1,42,21.6,3,1,0,0
Cody Parkey,98,6401,1183,46,46.9,52,22.8,0,0,0,0
Brandon McManus,91,5981,706,64,70.3,27,26.2,0,0,0,0
Shaun Suisham,89,5552,1249,32,36,54,23.1,3,0,1,1
Steven Hauschka,88,5728,1013,46,52.3,42,24.1,0,0,0,0
Justin Tucker,88,5702,601,60,68.2,26,23.1,2,0,0,0
Randy Bullock,86,5626,1144,40,46.5,44,26,2,0,0,0
Caleb Sturgis,85,5476,1237,37,43.5,46,26.9,1,0,1,1
Matt Bosher,83,5172,820,46,55.4,36,22.8,2,0,0,0
Jordan Gay,83,5261,618,49,59,31,19.9,3,0,1,0
Josh Brown,82,5072,587,46,56.1,32,18.3,3,2,1,0
Mike Nugent,81,5316,1123,37,45.7,44,25.5,1,0,0,0
Cairo Santos,80,5085,1278,26,32.5,53,24.1,1,0,0,0
Graham Gano,79,5196,584,61,77.2,18,32.4,0,0,0,0
Thomas Morstead,79,5253,1029,40,50.6,39,26.4,0,0,0,0
Nick Novak,78,4799,1488,10,12.8,67,22.2,0,0,1,0
Chandler Catanzaro,76,5061,967,38,50,37,26.1,1,0,0,0
Blair Walsh,76,4796,574,48,63.2,27,21.3,1,0,1,0
Sam Martin,75,4826,544,53,70.7,20,27.2,1,0,1,0
Phil Dawson,73,4721,907,32,43.8,40,22.7,1,0,0,0
Greg Zuerlein,73,4862,849,38,52,35,24.3,0,0,0,1
Nick Folk,69,4340,994,21,30.4,46,21.6,1,0,0,0
Michael Koenen,69,4436,868,31,44.9,37,23.5,1,0,0,0
Billy Cundiff,63,4169,544,39,61.9,24,22.7,0,0,0,0
Josh Scobee,63,3855,475,37,58.7,20,23.8,5,2,1,0
Ryan Succop,63,3967,823,31,49.2,29,28.4,3,0,0,1
Sebastian Janikowski,61,3723,683,34,55.7,21,32.5,6,0,1,0
Kai Forbath,54,3312,787,18,33.3,34,23.2,2,0,0,0
Robbie Gould,53,3227,524,21,39.6,28,18.7,2,0,1,0
Tress Way,18,1174,324,9,50,9,36,0,0,0,1
Jay Feely,14,580,90,3,21.4,7,12.9,4,1,0,0
Connor Barth,8,456,199,0,0,8,24.9,0,0,0,0
Spencer Lanning,6,387,107,1,16.7,5,21.4,0,0,0,0
Ryan Quigley,5,315,116,0,0,5,23.2,0,0,0,0
Bryan Anger,2,136,41,0,0,2,20.5,0,0,0,0
Shayne Graham,2,20,0,0,0,0,0,2,0,0,0
Garrett Hartley,2,123,44,0,0,2,22,0,0,0,0
Johnny Hekker,2,30,0,0,0,0,0,2,0,1,0
Brett Kern,2,119,32,0,0,2,16,0,0,0,0
Tim Masthay,2,119,41,0,0,2,20.5,0,0,0,0
Colton Schmidt,2,101,21,0,0,1,21,0,0,0,0
Dustin Colquitt,1,71,15,0,0,1,15,0,0,0,0
Chris Jones,1,57,16,0,0,1,16,0,0,0,0
Shane Lechler,1,67,25,0,0,1,25,0,0,0,0
Jeff Locke,1,50,5,0,0,1,5,0,0,0,0
Pat O'Donnell,1,65,0,1,100,0,0,0,0,0,0
Jon Ryan,1,79,22,0,0,1,22,0,0,0,0
