Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Tress Way,47.5,40.6,3122,78,77,3659,22,6,12,7,10,42,397,1,1
Bryan Anger,47.5,40.4,3800,96,69,4464,25,7,5,10,20,52,464,0,2
Sam Koch,47.4,43.2,2595,60,73,2841,26,11,8,4,14,23,166,0,0
Mat McBriar,46.9,35.4,460,13,58,610,1,1,0,1,1,10,130,0,0
Kevin Huber,46.8,42.1,3073,73,69,3419,27,8,14,6,15,30,226,1,0
Brett Kern,46.8,41.2,3628,89,79,4118,28,7,6,7,25,43,350,0,1
Andy Lee,46.8,40.2,2893,73,71,3369,28,4,3,7,22,36,336,1,1
Patrick McAfee,46.7,42.8,2956,69,61,3221,30,7,5,3,19,35,205,0,0
Johnny Hekker,46.5,42.9,3429,81,61,3721,33,10,10,5,27,28,192,0,1
Thomas Morstead,46.4,43,2491,58,63,2690,19,6,10,5,13,24,99,0,0
Ryan Allen,46.4,40.5,2673,67,67,3060,25,6,10,6,15,29,267,0,1
Shane Lechler,46.4,39.1,3249,84,71,3847,27,4,13,10,24,32,398,0,1
Brandon Fields,46.3,39.3,2279,59,60,2688,21,5,3,3,11,36,349,0,1
Sam Martin,46.2,40.1,2727,68,71,3138,29,2,10,5,21,30,311,1,0
Ryan Quigley,45.9,40.4,3150,79,69,3580,23,12,9,9,23,25,250,0,1
Mike Scifres,45.8,39.6,2180,56,72,2516,21,7,9,6,12,21,216,0,1
Matt Bosher,45.7,40.8,2733,67,66,3063,27,6,3,4,28,26,250,0,0
Steve Weatherford,45.5,39.1,3129,81,71,3640,25,5,15,6,17,37,391,1,1
Chris Jones,45.4,40.5,2306,58,64,2586,21,11,4,2,15,25,240,0,1
Marquette King,45.2,40,4357,109,62,4930,31,5,21,3,33,47,513,1,0
Brad Nortman,44.9,37.5,2701,74,72,3236,26,6,13,5,20,28,435,1,2
Dustin Colquitt,44.6,40.5,2874,71,69,3164,31,4,13,5,20,29,190,0,0
Spencer Lanning,44.3,39.2,3644,93,59,4119,25,5,11,9,26,42,295,0,0
Dave Zastudil,44.3,39,429,11,53,487,1,2,0,1,2,6,38,0,0
Jeff Locke,44.2,39.2,2943,76,62,3318,21,2,9,6,19,39,255,0,1
Britton Colquitt,44.2,37.6,2597,69,65,3048,25,6,7,4,19,33,371,1,0
Jon Ryan,44.1,38.9,2373,62,66,2688,28,9,7,6,22,17,195,1,1
Tim Masthay,44.1,38.5,1888,51,63,2159,14,5,8,4,10,22,191,1,2
Donnie Jones,43.8,38.9,2953,76,68,3331,34,5,13,7,22,29,238,1,0
Pat O'Donnell,43.8,38.2,2712,72,61,3107,20,9,7,3,19,33,335,1,1
Brad Wing,43.7,38.8,2367,61,74,2668,20,3,9,4,18,27,221,0,0
Colton Schmidt,42.9,38.7,3326,86,67,3692,31,11,11,6,20,38,246,0,0
Drew Butler,42.1,37.8,2982,81,67,3328,34,5,8,5,35,26,246,0,2
Michael Koenen,40.4,37.6,2929,79,56,3154,17,6,12,2,26,32,185,1,1
Nick Novak,40,36.7,220,6,51,240,1,0,0,0,2,4,20,0,0
