Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Browns,28,90.3,15,93.8,0,0
Seahawks,25,80.6,20,100,0,0
Broncos,24,92.3,18,90,1,0
Saints,24,80,19,100,0,1
Bears,23,92,21,95.4,0,0
Jaguars,23,88.5,23,100,0,0
Jets,23,95.8,8,88.9,0,1
Falcons,22,95.6,17,94.4,0,0
Cowboys,22,100,33,91.7,0,0
Titans,22,95.6,17,100,0,0
Texans,22,84.6,23,100,1,0
Rams,22,73.3,18,90,0,0
Ravens,21,80.8,35,97.2,0,0
Steelers,21,95.4,15,100,0,0
Chiefs,20,100,28,100,0,0
Raiders,20,83.3,18,100,0,0
Colts,19,82.6,28,100,0,0
Eagles,19,90.5,33,97.1,0,0
Cardinals,19,86.4,11,91.7,0,0
Buccaneers,19,90.5,19,100,0,0
Bills,18,78.3,34,97.1,0,0
Panthers,18,85.7,15,93.8,0,1
Vikings,18,78.3,27,93.1,0,0
Bengals,17,81,23,100,0,1
Chargers,17,94.4,30,100,0,1
49ers,17,85,37,100,0,0
Commanders,17,81,23,92,0,0
Packers,15,79,20,87,0,0
Giants,14,70,15,100,0,0
Lions,13,86.7,31,96.9,0,0
Patriots,12,66.7,14,100,0,0
Dolphins,11,78.6,42,97.7,0,0
