Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,72,4687,67,93.1,3,31,0,0,1,0
Ravens,70,4499,59,84.3,10,22,0,0,0,0
Bills,69,4330,39,56.5,23,20.4,1,0,1,0
Dolphins,63,4090,52,82.5,11,30.2,0,0,0,1
49ers,63,3979,35,55.6,25,23.3,0,0,2,0
Eagles,62,4010,51,82.3,11,29.7,0,0,0,0
Colts,61,3930,47,77,10,25.6,0,0,0,0
Bears,60,3760,48,80,9,25.1,2,0,0,0
Vikings,60,3832,44,73.3,14,24.3,1,0,1,0
Browns,59,3748,38,64.4,15,18.1,0,0,0,0
Lions,59,3671,36,61,18,20.5,2,0,0,0
Jaguars,59,3792,45,76.3,10,26.9,0,0,0,1
Broncos,57,3608,52,91.2,3,17.7,2,0,0,0
Texans,57,3608,35,61.4,20,22.1,0,0,0,0
Saints,57,3710,51,89.5,6,21.2,0,0,0,0
Chargers,57,3672,49,86,7,20.9,0,0,0,0
Rams,56,3546,48,85.7,7,30.3,1,0,0,0
Seahawks,56,3586,38,67.9,14,22.8,0,0,1,0
Chiefs,55,3609,52,94.6,3,25,0,0,0,0
Commanders,54,3412,52,96.3,0,0,2,0,0,0
Falcons,52,3368,44,84.6,7,21.9,0,0,0,0
Buccaneers,52,3307,34,65.4,15,18.5,0,0,0,0
Packers,51,3252,26,51,22,22.9,1,0,1,0
Raiders,51,3278,34,66.7,17,21.6,0,0,0,0
Cardinals,51,3155,43,84.3,3,21,3,1,0,0
Bengals,50,3115,39,78,7,17.1,2,0,0,0
Steelers,49,3116,34,69.4,13,26.6,0,0,0,0
Titans,47,2911,25,53.2,19,21.8,2,0,0,0
Jets,46,2914,38,82.6,5,16.4,1,0,0,0
Panthers,44,2632,26,59.1,13,24.8,4,0,1,0
Giants,43,2763,33,76.7,9,27.1,0,0,1,0
Patriots,40,2509,27,67.5,12,23.4,1,0,0,0
