Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Browns,28,31,90.3,0_0,7_7,5_5,12_9,7_7,0_0,58,0
Seahawks,25,31,80.6,0_0,3_3,11_10,9_8,8_4,0_0,55,0
Broncos,24,26,92.3,0_0,8_8,11_10,3_3,4_3,0_0,52,1
Saints,24,30,80,0_0,8_7,5_5,9_7,8_5,0_0,55,0
Bears,23,25,92,0_0,5_5,9_9,5_3,6_6,0_0,55,0
Jaguars,23,26,88.5,0_0,2_2,7_7,10_9,7_5,0_0,56,1
Jets,23,24,95.8,0_0,4_4,9_9,8_8,3_2,0_0,53,0
Falcons,22,23,95.6,0_0,6_6,7_7,7_6,3_3,0_0,54,0
Cowboys,22,22,100,0_0,9_9,7_7,1_1,5_5,0_0,58,0
Titans,22,23,95.6,0_0,6_6,8_8,4_4,5_4,0_0,53,0
Texans,22,26,84.6,0_0,8_8,10_10,4_3,4_1,0_0,50,0
Rams,22,30,73.3,0_0,5_5,5_5,11_8,9_4,0_0,54,1
Ravens,21,26,80.8,0_0,6_6,6_6,9_8,4_1,1_0,50,1
Steelers,21,22,95.4,0_0,5_5,5_5,7_7,4_4,1_0,57,0
Chiefs,20,20,100,0_0,3_3,11_11,3_3,2_2,1_1,60,0
Raiders,20,24,83.3,0_0,8_8,5_4,8_7,3_1,0_0,54,1
Colts,19,23,82.6,0_0,5_5,3_3,5_4,9_7,1_0,57,1
Eagles,19,21,90.5,0_0,5_5,6_5,3_3,6_5,1_1,61,0
Cardinals,19,22,86.4,0_0,3_3,6_5,5_5,7_5,1_1,62,0
Buccaneers,19,21,90.5,0_0,7_7,7_7,2_1,5_4,0_0,57,2
Bills,18,23,78.3,0_0,1_1,10_9,6_4,6_4,0_0,54,1
Panthers,18,21,85.7,0_0,2_2,6_6,7_6,6_4,0_0,56,0
Vikings,18,23,78.3,1_1,6_6,6_6,4_2,6_3,0_0,54,1
Bengals,17,21,81,0_0,4_4,1_1,6_6,10_6,0_0,56,0
Chargers,17,18,94.4,0_0,5_5,5_5,3_3,5_4,0_0,55,0
49ers,17,20,85,0_0,6_6,7_7,4_2,3_2,0_0,57,0
Commanders,17,21,81,0_0,3_2,6_6,8_6,3_2,1_1,61,1
Packers,15,19,79,0_0,5_5,7_7,3_1,3_2,1_0,52,0
Giants,14,20,70,0_0,2_2,6_4,8_5,4_3,0_0,57,1
Lions,13,15,86.7,0_0,2_1,9_9,2_2,2_1,0_0,52,0
Patriots,12,18,66.7,0_0,3_3,5_3,7_5,3_1,0_0,51,0
Dolphins,11,14,78.6,0_0,2_2,2_2,6_5,4_2,0_0,54,1
