Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,18.8,10,188,0,4,1,45,6,1
Chargers,16.3,16,261,1,4,1,87T,14,2
Eagles,14.8,20,295,0,6,1,52,11,1
Saints,14.4,18,259,1,2,1,76T,21,0
Bengals,13,21,272,1,4,1,81T,8,1
Ravens,12.6,22,276,0,4,1,70,20,0
Seahawks,11.2,21,235,0,3,0,32,11,2
Raiders,10.8,15,162,0,1,0,32,9,1
Jaguars,10.7,16,171,0,2,1,48,14,1
Lions,10.5,16,168,0,1,0,24,16,0
Jets,10,17,170,1,1,1,65T,17,2
Cardinals,9.9,21,207,0,2,1,49,9,1
Colts,9.4,19,179,0,2,0,32,14,2
Panthers,9.2,25,231,1,2,1,79T,13,1
Packers,9.2,19,175,0,3,0,35,11,3
Buccaneers,9.2,16,147,0,1,1,51,9,2
Dolphins,9.1,19,173,0,0,0,19,19,1
Bills,8.9,21,186,0,2,0,24,17,2
49ers,8.4,23,194,0,0,0,19,9,1
Browns,8.2,30,247,0,1,0,21,19,2
Vikings,8.2,24,197,0,2,0,24,12,1
Texans,7.9,18,143,0,1,0,20,13,1
Titans,7.9,27,214,0,1,0,21,8,2
Chiefs,7.6,28,214,0,3,1,50,11,4
Rams,7.5,20,150,0,1,0,29,13,1
Commanders,7.4,28,207,0,2,1,61,10,1
Bears,7.2,11,79,0,0,0,14,16,0
Steelers,6.9,20,138,0,1,0,21,10,1
Giants,6.5,23,149,0,0,0,17,14,5
Patriots,6.4,20,129,0,2,0,25,16,4
Cowboys,5.8,16,92,0,0,0,15,18,1
Falcons,5.5,16,88,0,0,0,16,13,0
