Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,33.6,7,235,1,6,1,99T,2,0
Panthers,29.8,15,447,0,14,2,52,0,1
Commanders,26.8,17,455,0,13,1,40,0,1
Seahawks,26.2,18,471,0,16,1,66,0,0
Texans,25.9,11,285,1,6,1,85T,1,0
Packers,25.6,22,563,0,18,2,51,0,0
Vikings,25.1,7,176,0,5,0,38,1,0
Raiders,24.4,8,195,0,7,1,40,1,0
Dolphins,24.4,11,268,0,11,0,33,0,0
Jaguars,23.8,12,285,0,9,1,53,0,0
Colts,23.6,5,118,0,2,1,42,6,0
Bengals,23.2,13,302,0,8,2,46,0,0
Browns,23.1,7,162,0,5,0,33,1,0
Cowboys,22.9,12,275,0,6,2,63,0,0
Patriots,22.9,9,206,0,6,1,43,1,0
Lions,22.2,13,289,0,7,0,31,2,1
Steelers,22.1,17,376,0,11,0,37,2,0
Bills,21.7,11,239,0,6,1,41,4,0
Jets,21.6,14,302,0,8,0,30,1,1
49ers,21.6,11,237,0,6,0,34,0,0
Saints,21.4,16,343,0,9,0,28,1,1
Bears,21.4,14,299,0,9,0,37,2,0
Giants,20.8,12,249,0,7,0,36,1,0
Chargers,20.7,7,145,0,5,0,27,1,0
Eagles,20.6,5,103,0,2,0,38,5,0
Titans,20.3,13,264,0,7,0,33,6,0
Buccaneers,20.1,14,281,0,6,0,32,2,0
Chiefs,19.4,5,97,0,3,0,29,0,0
Ravens,19.1,8,153,0,4,0,28,4,0
Rams,18.7,6,112,0,3,0,36,5,0
Cardinals,18,10,180,0,4,0,28,0,0
Falcons,17.6,11,193,0,4,0,29,0,0
