Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Dave Lewis,46.2,39,3079,79,63,3651,0,1,10,9,11,48,392,2,0
Bobby Walden,45.2,39.8,2989,75,66,3393,0,4,4,5,11,51,304,0,0
Jerrel Wilson,44.9,39,2961,76,68,3415,0,5,10,2,8,51,414,0,0
David Lee,44.8,36.7,2314,64,62,2819,0,5,3,7,9,38,365,1,1
Dennis Partee,43.9,38.7,2514,66,62,2852,0,4,9,4,17,30,258,1,1
Billy Van Heusen,42.9,37.2,3236,87,64,3732,0,4,7,4,16,56,416,0,0
Don Cockroft,42.6,39.4,2800,72,71,3023,0,1,11,7,28,23,83,0,1
Julian Fagan,42.4,35.8,2755,79,64,3269,0,2,6,4,22,41,434,1,2
Spike Jones,42.4,35.7,2998,85,73,3559,0,3,6,6,16,52,441,0,1
Ron Widby,41.3,35.4,2446,70,59,2847,0,1,11,6,12,38,281,1,1
Larry Seiple,41.2,35.7,2071,58,67,2392,0,0,9,4,25,20,241,1,0
Chuck Latourette,40.9,38.3,2489,65,59,2659,0,4,11,4,20,26,90,0,0
Bobby Joe Green,40.9,34.8,2889,83,56,3395,0,5,8,12,19,39,266,0,0
Mike Bragg,40.9,35,2134,62,66,2493,0,1,6,5,13,35,259,0,1
Donny Anderson,40.8,35.5,2876,81,62,3302,0,7,20,6,10,38,306,0,0
Steve O'Neal,40.1,33.2,2425,74,64,2925,0,2,6,6,16,42,380,0,1
Herman Weaver,40,36.6,2270,63,65,2483,0,2,13,5,12,29,113,0,1
Bill Johnson,39.5,35.3,1519,44,68,1700,0,5,6,6,7,18,61,0,1
Mike Eischeid,39.5,34.9,2758,80,57,3121,0,2,9,3,24,40,303,0,1
Tom Janik,39.1,35.1,3021,87,57,3364,0,7,18,2,16,42,303,0,1
Pat Studstill,39.1,34.6,2317,67,53,2618,0,8,6,6,15,32,181,0,0
Paul Maguire,38.9,34.9,2897,84,58,3228,0,3,12,2,23,42,291,0,1
Billy Lothridge,38.7,34.4,2617,76,59,2944,0,4,7,3,22,40,267,0,0
Steve Spurrier,38.4,34.9,2617,75,58,2877,0,3,9,4,21,38,180,0,0
Tom McNeill,37.8,31.6,1927,61,64,2309,0,4,9,3,7,38,322,1,0
Bill Bradley,36.8,34.2,2084,61,56,2246,0,0,20,2,22,17,122,1,0
Mike Mercer,35.4,28.6,229,8,42,283,0,0,1,0,3,4,54,0,0
Mark Moseley,35,30.9,309,10,56,350,0,1,4,0,0,5,41,0,0
Ernie Koy,33.6,33.6,369,11,44,369,0,0,1,0,7,3,0,0,0
Dale Livingston,33.2,27.8,167,6,52,199,0,3,0,0,1,2,32,0,0
John Hadl,30,30,30,1,30,30,0,0,1,0,0,0,0,0,0
Garry Lyle,29,27,27,1,29,29,0,0,0,0,0,1,2,0,0
Terry Bradshaw,17.3,17.3,52,4,39,52,0,0,2,0,0,0,0,0,1
